,,,,,,Perf,Aeri
Player,Pos,Squad,Comp,Age,90s,Recov,Won%
,,,,,,,
Borja Mayoral\Borja-Mayoral,FW,Real Madrid,es La Liga,23,0.3,3.33,0.0
Youssef Maziz\Youssef-Maziz,MFFW,Metz,fr Ligue 1,22,2.9,5.86,60.0
Antonio Mazzotta\Antonio-Mazzotta,DF,Crotone,it Serie A,30,0.6,1.67,100.0
Kevin Mbabu\Kevin-Mbabu,DF,Wolfsburg,de Bundesliga,25,18.2,10.1,57.6
Kylian Mbappé\Kylian-Mbappe,FW,Paris S-G,fr Ligue 1,21,26.4,4.13,46.7
Ibrahima Mbaye\Ibrahima-Mbaye,DF,Bologna,it Serie A,25,4.8,7.50,60.9
Jean-Manuel Mbom\Jean-Manuel-Mbom,MFDF,Werder Bremen,de Bundesliga,20,12.9,6.82,58.6
Nathanael Mbuku\Nathanael-Mbuku,MFFW,Reims,fr Ligue 1,18,24.6,4.47,39.7
James McArthur\James-McArthur,MF,Crystal Palace,eng Premier League,32,16.3,12.7,50.0
Oliver McBurnie\Oliver-McBurnie,FW,Sheffield Utd,eng Premier League,24,14.7,4.42,54.1
Alex McCarthy\Alex-McCarthy,GK,Southampton,eng Premier League,30,30.0,4.33,
James McCarthy\James-McCarthy,MF,Crystal Palace,eng Premier League,29,9.1,12.3,46.7
John McGinn\John-McGinn,MF,Aston Villa,eng Premier League,25,37.0,8.22,35.1
David McGoldrick\David-McGoldrick,FWMF,Sheffield Utd,eng Premier League,32,26.6,5.49,41.4
Weston McKennie\Weston-McKennie,MF,Juventus,it Serie A,21,18.9,6.77,54.0
Dwight McNeil\Dwight-McNeil,MF,Burnley,eng Premier League,20,34.1,7.98,42.3
Scott McTominay\Scott-McTominay,MF,Manchester Utd,eng Premier League,23,23.7,9.07,59.0
Gary Medel\Gary-Medel,DFMF,Bologna,it Serie A,32,5.7,13.3,50.0
Facundo Medina\Facundo-Medina,DF,Lens,fr Ligue 1,21,22.3,11.4,53.3
Nathan de Medina\Nathan-de-Medina,DF,Arminia,de Bundesliga,22,7.1,9.30,17.4
Ben Mee\Ben-Mee,DF,Burnley,eng Premier League,30,29.9,11.3,69.2
Joshua Mees\Joshua-Mees,FW,Union Berlin,de Bundesliga,24,0.1,0.00,100.0
Admir Mehmedi\Admir-Mehmedi,MFFW,Wolfsburg,de Bundesliga,29,9.1,8.02,19.2
Soualiho Meïté\Soualiho-Meite,MF,Milan,it Serie A,26,6.5,11.1,61.9
Soualiho Meïté\Soualiho-Meite,MF,Torino,it Serie A,26,10.2,8.04,55.6
Hannibal Mejbri\Hannibal-Mejbri,MF,Manchester Utd,eng Premier League,17,0.1,10.0,
Farid El Melali\Farid-El-Melali,FWMF,Angers,fr Ligue 1,23,4.6,7.17,10.0
Filippo Melegoni\Filippo-Melegoni,MFDF,Genoa,it Serie A,21,4.3,6.74,75.0
Gonzalo Melero\Gonzalo-Melero,MFFW,Levante,es La Liga,26,20.6,7.77,44.3
Birger Meling\Birger-Meling,DF,Nîmes,fr Ligue 1,25,25.9,8.46,45.5
Arthur Melo\Arthur-Melo,MF,Juventus,it Serie A,23,12.9,10.3,16.7
Houboulang Mendes\Houboulang-Mendes,DF,Lorient,fr Ligue 1,22,14.4,5.90,52.6
Pedro Mendes\Pedro-Mendes,DF,Montpellier,fr Ligue 1,29,18.1,8.07,42.9
Thiago Mendes\Thiago-Mendes,MF,Lyon,fr Ligue 1,28,24.9,11.3,54.2
Brais Méndez\Brais-Mendez,MFFW,Celta Vigo,es La Liga,23,29.7,7.04,28.7
Édgar Méndez\Edgar-Mendez,MFFW,Alavés,es La Liga,30,23.2,6.29,51.7
Eñaut Mendía\Enaut-Mendia,FW,Eibar,es La Liga,21,0.7,7.14,0.0
Batista Mendy\Batista-Mendy,MF,Nantes,fr Ligue 1,20,0.8,6.25,100.0
Benjamin Mendy\Benjamin-Mendy,DF,Manchester City,eng Premier League,26,10.6,7.64,45.8
Edouard Mendy\Edouard-Mendy,GK,Chelsea,eng Premier League,28,30.5,3.87,0.0
Edouard Mendy\Edouard-Mendy,GK,Rennes,fr Ligue 1,28,1.0,3.00,
Ferland Mendy\Ferland-Mendy,DF,Real Madrid,es La Liga,25,24.5,6.94,33.3
Nampalys Mendy\Nampalys-Mendy,MF,Leicester City,eng Premier League,28,16.2,12.3,41.4
Hamza Mendyl\Hamza-Mendyl,FWDF,Schalke 04,de Bundesliga,22,1.1,4.55,28.6
Levent Mercan\Levent-Mercan,FW,Schalke 04,de Bundesliga,19,0.1,0.00,
Jorge Meré\Jorge-Mere,DF,Köln,de Bundesliga,23,14.4,9.86,53.2
Alex Meret\Alex-Meret,GK,Napoli,it Serie A,23,22.0,3.86,
Mikel Merino\Mikel-Merino,MF,Real Sociedad,es La Liga,24,23.9,9.04,49.7
Martín Merquelanz\Martin-Merquelanz,FWMF,Real Sociedad,es La Liga,25,6.1,7.54,33.3
Yıldırım Mert Çetin\Yildirim-Mert-Cetin,DF,Hellas Verona,it Serie A,23,4.6,13.3,69.0
Dries Mertens\Dries-Mertens,FWMF,Napoli,it Serie A,33,16.2,4.63,0.0
Roque Mesa\Roque-Mesa,MF,Valladolid,es La Liga,31,19.6,10.5,32.6
Illan Meslier\Illan-Meslier,GK,Leeds United,eng Premier League,20,35.0,4.94,
Lionel Messi\Lionel-Messi,FWMF,Barcelona,es La Liga,33,33.6,3.63,52.2
Junior Messias\Junior-Messias,MFFW,Crotone,it Serie A,29,35.7,6.64,31.4
Thomas Meunier\Thomas-Meunier,DF,Dortmund,de Bundesliga,28,16.4,9.27,55.3
Mexer\Mexer,DF,Bordeaux,fr Ligue 1,31,7.9,8.86,68.6
Max Meyer\Max-Meyer,MF,Köln,de Bundesliga,24,3.9,12.1,30.0
Omenuke Mfulu\Omenuke-Mfulu,MF,Elche,es La Liga,26,8.8,7.39,50.0
Míchel\Michel,MF,Valladolid,es La Liga,32,10.5,11.2,45.0
Jonas Michel Dirkner\Jonas-Michel-Dirkner,MF,Hertha BSC,de Bundesliga,18,0.2,5.00,
Jonas Michelbrink\Jonas-Michelbrink,MF,Hertha BSC,de Bundesliga,19,0.4,10.0,100.0
Clément Michelin\Clement-Michelin,DF,Lens,fr Ligue 1,23,12.8,7.50,51.2
Edouard Michut\Edouard-Michut,MF,Paris S-G,fr Ligue 1,17,0.0,0,
Petar Mićin\Petar-Micin,MF,Udinese,it Serie A,21,0.2,5.00,
Florian Miguel\Florian-Miguel,DF,Nîmes,fr Ligue 1,23,17.1,7.66,56.7
Valentin Mihaila\Valentin-Mihaila,FWMF,Parma,it Serie A,20,7.8,4.74,6.7
Nikola Milenković\Nikola-Milenkovic,DF,Fiorentina,it Serie A,22,33.7,9.79,77.0
Arkadiusz Milik\Arkadiusz-Milik,FW,Marseille,fr Ligue 1,26,13.6,2.50,45.2
Sergej Milinković-Savić\Sergej-Milinkovic-Savic,MF,Lazio,it Serie A,25,30.5,8.00,54.6
Vanja Milinković-Savić\Vanja-Milinkovic-Savic,GK,Torino,it Serie A,23,5.0,5.60,
Éder Militão\Eder-Militao,DF,Real Madrid,es La Liga,22,12.6,7.78,78.3
Luka Milivojević\Luka-Milivojevic,MF,Crystal Palace,eng Premier League,29,26.2,10.3,58.9
Luis Milla\Luis-Milla,MF,Granada,es La Liga,25,13.9,9.64,55.2
Pere Milla\Pere-Milla,FWMF,Elche,es La Liga,27,22.0,5.14,43.5
Alejandro Millán\Alejandro-Millan,FW,Villarreal,es La Liga,20,0.0,0,
Vincenzo Millico\Vincenzo-Millico,FWMF,Torino,it Serie A,19,0.2,10.0,
Enzo Millot\Enzo-Millot,MF,Monaco,fr Ligue 1,18,0.5,6.00,50.0
James Milner\James-Milner,MFDF,Liverpool,eng Premier League,34,11.9,11.8,64.1
Santi Mina\Santi-Mina,FW,Celta Vigo,es La Liga,24,26.8,3.99,44.8
Yerry Mina\Yerry-Mina,DF,Everton,eng Premier League,25,21.5,7.81,71.6
Takumi Minamino\Takumi-Minamino,MFFW,Southampton,eng Premier League,25,7.9,7.85,26.7
Takumi Minamino\Takumi-Minamino,MFFW,Liverpool,eng Premier League,25,3.3,6.36,60.0
Tyrone Mings\Tyrone-Mings,DF,Aston Villa,eng Premier League,27,35.5,10.4,75.7
Óscar Mingueza\Oscar-Mingueza,DF,Barcelona,es La Liga,21,21.1,7.20,36.6
Rafa Mir\Rafa-Mir,FW,Huesca,es La Liga,23,32.0,3.28,48.2
Jorge Miramón\Jorge-Miramon,DF,Levante,es La Liga,31,19.2,8.28,48.0
Aleksei Miranchuk\Aleksei-Miranchuk,FWMF,Atalanta,it Serie A,24,7.5,9.87,53.8
Juan Miranda\Juan-Miranda,DF,Betis,es La Liga,20,18.4,6.68,44.0
Antonio Mirante\Antonio-Mirante,GK,Roma,it Serie A,37,12.8,6.48,
Tyrick Mitchell\Tyrick-Mitchell,DF,Crystal Palace,eng Premier League,20,19.0,6.47,55.2
Aleksandar Mitrović\Aleksandar-Mitrovic,FW,Fulham,eng Premier League,25,15.6,3.53,47.2
Stefan Mitrović\Stefan-Mitrovic,DF,Strasbourg,fr Ligue 1,30,30.9,7.41,63.2
Maximilian Mittelstädt\Maximilian-Mittelstadt,DF,Hertha BSC,de Bundesliga,23,20.0,10.6,53.5
Henrikh Mkhitaryan\Henrikh-Mkhitaryan,FWMF,Roma,it Serie A,31,30.5,7.02,33.3
Jakub Moder\Jakub-Moder,DFMF,Brighton,eng Premier League,21,7.2,6.53,33.3
Anthony Modeste\Anthony-Modeste,FW,Saint-Étienne,fr Ligue 1,32,3.3,1.82,46.7
Anthony Modeste\Anthony-Modeste,FWMF,Köln,de Bundesliga,32,2.5,5.20,57.1
Luka Modrić\Luka-Modric,MF,Real Madrid,es La Liga,34,30.4,7.53,51.1
Terem Moffi\Terem-Moffi,FW,Lorient,fr Ligue 1,21,23.0,4.17,32.7
Kevin Möhwald\Kevin-Mohwald,MF,Werder Bremen,de Bundesliga,27,17.3,9.60,85.2
Niklas Moisander\Niklas-Moisander,DF,Werder Bremen,de Bundesliga,34,13.6,11.2,55.6
Dion Moise Sahi\Dion-Moise-Sahi,FWMF,Strasbourg,fr Ligue 1,18,1.0,11.0,40.0
Johan Mojica\Johan-Mojica,DFFW,Atalanta,it Serie A,27,3.3,12.1,40.0
Johan Mojica\Johan-Mojica,DF,Elche,es La Liga,27,13.4,8.73,41.4
Guillem Molina\Guillem-Molina,DF,Valencia,es La Liga,20,1.7,10.6,44.4
Jorge Molina\Jorge-Molina,FWMF,Granada,es La Liga,38,17.9,4.13,47.8
Nahuel Molina\Nahuel-Molina,DF,Udinese,it Serie A,22,20.3,6.90,44.0
Salvatore Molina\Salvatore-Molina,MFDF,Crotone,it Serie A,28,25.7,8.29,52.3
Victor Mollejo\Victor-Mollejo,MFDF,Getafe,es La Liga,19,0.8,3.75,33.3
Florent Mollet\Florent-Mollet,MF,Montpellier,fr Ligue 1,28,26.2,7.29,22.2
Jayson Molumby\Jayson-Molumby,MF,Brighton,eng Premier League,20,0.0,1,
Alkhaly Momo Cissé\Alkhaly-Momo-Cisse,DFFW,Stuttgart,de Bundesliga,17,0.4,10.0,0.0
Jon Moncayola\Jon-Moncayola,MF,Osasuna,es La Liga,22,29.6,10.6,53.4
Gabriele Moncini\Gabriele-Moncini,FW,Benevento,it Serie A,24,4.0,3.00,48.4
Thomas Monconduit\Thomas-Monconduit,MF,Lorient,fr Ligue 1,29,12.8,9.53,45.7
Kévin Monnet-Paquet\Kevin-Monnet-Paquet,MFFW,Saint-Étienne,fr Ligue 1,31,6.3,8.89,26.1
Nacho Monreal\Nacho-Monreal,DF,Real Sociedad,es La Liga,34,23.1,7.79,58.2
Cristóbal Montiel\Cristobal-Montiel,DFFW,Fiorentina,it Serie A,20,0.0,1,
Lorenzo Montipò\Lorenzo-Montipo,GK,Benevento,it Serie A,24,37.0,4.32,
Ángel Montoro\Angel-Montoro,MF,Granada,es La Liga,32,15.1,8.61,36.4
Martín Montoya\Martin-Montoya,DF,Betis,es La Liga,29,2.7,10.0,70.0
Emre Mor\Emre-Mor,FWMF,Celta Vigo,es La Liga,23,5.6,4.11,26.7
Luca Mora\Luca-Mora,MFFW,Spezia,it Serie A,32,1.3,3.85,60.0
Wesley Moraes\Wesley-Moraes,MFFW,Aston Villa,eng Premier League,23,0.2,15.0,0.0
Álvaro Morata\Alvaro-Morata,FW,Juventus,it Serie A,27,22.4,3.93,50.0
Jan Morávek\Jan-Moravek,MF,Augsburg,de Bundesliga,30,3.0,10.0,50.0
Jon Morcillo\Jon-Morcillo,MFFW,Athletic Club,es La Liga,21,15.1,4.64,44.4
Jérémy Morel\Jeremy-Morel,DF,Lorient,fr Ligue 1,36,27.7,8.38,52.3
Alberto Moreno\Alberto-Moreno,DF,Villarreal,es La Liga,28,2.1,5.71,
Álex Moreno\Alex-Moreno,DF,Betis,es La Liga,27,19.8,12.5,44.7
Gerard Moreno\Gerard-Moreno,FWMF,Villarreal,es La Liga,28,29.7,4.24,47.1
Tete Morente\Tete-Morente,MFFW,Elche,es La Liga,23,22.4,6.34,43.2
Mateu Morey\Mateu-Morey,DF,Dortmund,de Bundesliga,20,9.2,7.93,50.0
Wes Morgan\Wes-Morgan,DF,Leicester City,eng Premier League,36,0.2,10.0,
Raúl Moro\Raul-Moro,MF,Lazio,it Serie A,17,0.1,10.0,
Loren Morón\Loren-Moron,FWMF,Betis,es La Liga,26,11.0,3.73,37.5
Pedro Mosquera\Pedro-Mosquera,MF,Huesca,es La Liga,32,22.8,11.0,39.4
Aimen Moueffek\Aimen-Moueffek,DFMF,Saint-Étienne,fr Ligue 1,19,8.3,12.0,45.8
Youssoufa Moukoko\Youssoufa-Moukoko,FWMF,Dortmund,de Bundesliga,15,4.7,4.89,28.6
Harold Moukoudi\Harold-Moukoudi,DF,Saint-Étienne,fr Ligue 1,22,25.3,8.46,61.8
Jessy Moulin\Jessy-Moulin,GK,Saint-Étienne,fr Ligue 1,34,29.0,5.66,
Steve Mounié\Steve-Mounie,FW,Brest,fr Ligue 1,25,29.8,4.70,67.6
Mason Mount\Mason-Mount,MFFW,Chelsea,eng Premier League,21,32.1,7.60,28.8
Lucas Moura\Lucas-Moura,FWMF,Tottenham,eng Premier League,27,15.7,8.15,38.2
Lys Mousset\Lys-Mousset,FWMF,Sheffield Utd,eng Premier League,24,3.3,3.64,4.8
João Moutinho\Joao-Moutinho,MF,Wolves,eng Premier League,33,28.1,9.93,45.5
Samuel Moutoussamy\Samuel-Moutoussamy,FW,Nantes,fr Ligue 1,23,0.9,2.22,25.0
Loris Mouyokolo\Loris-Mouyokolo,DF,Lorient,fr Ligue 1,19,0.2,10.0,
Javi Moyano\Javi-Moyano,DF,Valladolid,es La Liga,34,1.1,8.18,75.0
Nordi Mukiele\Nordi-Mukiele,DF,RB Leipzig,de Bundesliga,22,18.6,9.68,66.0
Mert Müldür\Mert-Muldur,DF,Sassuolo,it Serie A,21,18.6,7.47,42.5
Florian Müller\Florian-Muller,GK,Freiburg,de Bundesliga,22,31.0,5.48,
Sebastian Müller\Sebastian-Muller,MFDF,Arminia,de Bundesliga,19,0.0,0,
Thomas Müller\Thomas-Muller,MF,Bayern Munich,de Bundesliga,30,29.7,6.16,39.1
Joel Mumbongo\Joel-Mumbongo,FW,Burnley,eng Premier League,21,0.4,2.50,0.0
Marshall Munetsi\Marshall-Munetsi,MFDF,Reims,fr Ligue 1,24,21.4,9.53,63.6
Iker Muniain\Iker-Muniain,MFFW,Athletic Club,es La Liga,27,21.6,5.65,38.5
Aihen Muñoz\Aihen-Munoz,DF,Real Sociedad,es La Liga,22,13.4,9.63,51.3
Joaquín Muñoz\Joaquin-Munoz,FW,Huesca,es La Liga,21,0.5,8.00,25.0
Luis Muriel\Luis-Muriel,FW,Atalanta,it Serie A,29,16.0,5.94,35.5
Jeison Murillo\Jeison-Murillo,DF,Celta Vigo,es La Liga,28,30.0,8.97,54.4
Vedat Muriqi\Vedat-Muriqi,FW,Lazio,it Serie A,26,9.2,4.67,55.1
Jacob Murphy\Jacob-Murphy,DFMF,Newcastle Utd,eng Premier League,25,18.1,5.97,20.8
Nicola Murru\Nicola-Murru,DF,Torino,it Serie A,25,6.3,8.57,47.6
Petar Musa\Petar-Musa,FW,Union Berlin,de Bundesliga,22,7.9,6.58,50.5
Mateo Musacchio\Mateo-Musacchio,DF,Lazio,it Serie A,29,2.5,5.60,12.5
Mateo Musacchio\Mateo-Musacchio,DF,Milan,it Serie A,29,0.4,10.0,
Yunus Musah\Yunus-Musah,MF,Valencia,es La Liga,17,17.0,5.65,42.9
Jamal Musiala\Jamal-Musiala,FWMF,Bayern Munich,de Bundesliga,17,9.8,8.88,26.9
Juan Musso\Juan-Musso,GK,Udinese,it Serie A,26,35.0,4.86,100.0
Shkodran Mustafi\Shkodran-Mustafi,DF,Arsenal,eng Premier League,28,0.5,10.0,100.0
Shkodran Mustafi\Shkodran-Mustafi,DF,Schalke 04,de Bundesliga,28,11.5,8.61,62.2
Yoshinori Mutō\Yoshinori-Muto,FWMF,Eibar,es La Liga,28,12.5,5.76,41.2
Phillipp Mwene\Phillipp-Mwene,DF,Mainz 05,de Bundesliga,26,18.6,7.26,38.9
Joakim Mæhle\Joakim-Maehle,DF,Atalanta,it Serie A,23,13.5,7.04,31.8
Obite N'Dicka\Obite-NDicka,DF,Eint Frankfurt,de Bundesliga,20,22.7,11.3,69.8
Kévin N'Doram\Kevin-NDoram,MF,Metz,fr Ligue 1,24,3.4,3.24,60.0
Stanley N'Soki\Stanley-NSoki,DF,Nice,fr Ligue 1,21,13.8,11.4,71.1
Nacho\Nacho,DF,Real Madrid,es La Liga,30,22.2,6.85,50.8
Nacho\Nacho,DF,Valladolid,es La Liga,31,20.1,9.60,37.2
Yuto Nagatomo\Yuto-Nagatomo,DF,Marseille,fr Ligue 1,33,17.7,8.02,54.3
Kenny Nagera\Kenny-Nagera,FW,Paris S-G,fr Ligue 1,18,0.0,0,
Radja Nainggolan\Radja-Nainggolan,MF,Inter,it Serie A,32,0.5,6.00,
Radja Nainggolan\Radja-Nainggolan,MF,Cagliari,it Serie A,32,20.5,10.0,47.1
Marvelous Nakamba\Marvelous-Nakamba,MF,Aston Villa,eng Premier League,26,8.3,8.19,50.0
Nahitan Nández\Nahitan-Nandez,MFDF,Cagliari,it Serie A,24,30.4,7.30,42.7
Nano\Nano,FW,Cádiz,es La Liga,25,0.1,20.0,0.0
Paul Nardi\Paul-Nardi,GK,Lorient,fr Ligue 1,26,23.0,4.83,0.0
Matija Nastasić\Matija-Nastasic,DF,Schalke 04,de Bundesliga,27,13.6,7.06,63.8
Roberto Navarro\Roberto-Navarro,MF,Real Sociedad,es La Liga,18,0.4,12.5,
Ximo Navarro\Ximo-Navarro,DF,Alavés,es La Liga,30,26.4,7.80,40.3
Jesús Navas\Jesus-Navas,DF,Sevilla,es La Liga,34,31.4,8.09,60.4
Keylor Navas\Keylor-Navas,GK,Paris S-G,fr Ligue 1,33,28.0,3.79,
Raúl Navas\Raul-Navas,DF,Osasuna,es La Liga,32,1.9,8.95,100.0
Papa Ndiaga Yade\Papa-Ndiaga-Yade,FWMF,Metz,fr Ligue 1,20,11.1,6.31,42.9
Iliman Ndiaye\Iliman-Ndiaye,MF,Sheffield Utd,eng Premier League,21,0.1,0.00,
Wilfred Ndidi\Wilfred-Ndidi,MFDF,Leicester City,eng Premier League,23,24.2,12.4,59.3
Bridge Ndilu\Bridge-Ndilu,MFFW,Nantes,fr Ligue 1,20,0.5,6.00,33.3
Tanguy Ndombele\Tanguy-Ndombele,MF,Tottenham,eng Premier League,23,23.2,8.88,42.4
Dan Ndoye\Dan-Ndoye,FWMF,Nice,fr Ligue 1,19,6.1,4.75,27.8
Paul Nebel\Paul-Nebel,MFFW,Mainz 05,de Bundesliga,17,0.6,6.67,
Álvaro Negredo\Alvaro-Negredo,FW,Cádiz,es La Liga,34,24.4,3.24,46.0
Reiss Nelson\Reiss-Nelson,FW,Arsenal,eng Premier League,20,0.8,5.00,
Ilija Nestorovski\Ilija-Nestorovski,FWMF,Udinese,it Serie A,30,7.8,5.13,45.9
Neto\Neto,GK,Barcelona,es La Liga,31,7.0,3.71,
Pedro Neto\Pedro-Neto,FWMF,Wolves,eng Premier League,20,28.3,5.34,33.9
Luca Netz\Luca-Netz,DFMF,Hertha BSC,de Bundesliga,17,3.4,8.82,55.6
Manuel Neuer\Manuel-Neuer,GK,Bayern Munich,de Bundesliga,34,33.0,6.48,
Florian Neuhaus\Florian-Neuhaus,MF,M'Gladbach,de Bundesliga,23,29.1,10.1,45.2
Carlos Neva\Carlos-Neva,DF,Granada,es La Liga,24,20.0,6.00,22.4
Rúben Neves\Ruben-Neves,MF,Wolves,eng Premier League,23,29.7,11.1,55.1
Neymar\Neymar,MFFW,Paris S-G,fr Ligue 1,28,15.7,6.05,26.3
Yvan Neyou\Yvan-Neyou,MF,Saint-Étienne,fr Ligue 1,23,27.1,9.26,58.1
Jessic Ngankam\Jessic-Ngankam,FW,Hertha BSC,de Bundesliga,20,3.3,4.55,12.5
Muzinga Ngonda\Muzinga-Ngonda,DF,Dijon,fr Ligue 1,25,25.6,10.7,52.1
Ahmad Ngouyamsa\Ahmad-Ngouyamsa,DF,Dijon,fr Ligue 1,19,1.7,11.2,33.3
Opa Nguette\Opa-Nguette,FWMF,Metz,fr Ligue 1,26,12.6,5.63,35.8
Moussa Niakhate\Moussa-Niakhate,DF,Mainz 05,de Bundesliga,24,31.8,9.15,57.7
Ibrahima Niane\Ibrahima-Niane,FW,Metz,fr Ligue 1,21,7.4,4.46,50.9
M'Baye Niang\MBaye-Niang,FW,Rennes,fr Ligue 1,25,4.7,3.40,40.6
Mamor Niang\Mamor-Niang,FWMF,Getafe,es La Liga,18,0.2,10.0,20.0
Florian Niederlechner\Florian-Niederlechner,FW,Augsburg,de Bundesliga,29,19.3,4.25,30.8
Nieto\Nieto,FWMF,Cádiz,es La Liga,22,0.2,10.0,
Saúl Ñíguez\Saul-Niguez,MFDF,Atlético Madrid,es La Liga,25,22.6,8.67,49.6
Joakim Nilsson\Joakim-Nilsson,DF,Arminia,de Bundesliga,26,24.0,9.38,67.4
Casimir Ninga\Casimir-Ninga,FW,Angers,fr Ligue 1,27,0.3,3.33,0.0
Nino\Nino,MFFW,Elche,es La Liga,40,3.2,4.06,12.5
Fernando Niño\Fernando-Nino,FW,Villarreal,es La Liga,19,6.6,3.18,42.9
Eddie Nketiah\Eddie-Nketiah,FW,Arsenal,eng Premier League,21,4.7,2.55,14.3
Nicolas Nkoulou\Nicolas-Nkoulou,DF,Torino,it Serie A,30,15.1,9.01,47.9
Niels Nkounkou\Niels-Nkounkou,DFFW,Everton,eng Premier League,19,0.9,4.44,
Christopher Nkunku\Christopher-Nkunku,FWMF,RB Leipzig,de Bundesliga,22,21.0,6.19,48.6
Dan Nlundulu\Dan-Nlundulu,FW,Southampton,eng Premier League,21,1.2,5.00,54.5
Mark Noble\Mark-Noble,MF,West Ham,eng Premier League,33,7.9,9.75,77.8
Nolito\Nolito,MFFW,Celta Vigo,es La Liga,33,28.9,6.33,26.4
Arnaud Nordin\Arnaud-Nordin,MFFW,Saint-Étienne,fr Ligue 1,22,19.7,5.23,26.8
Håvard Nordtveit\Havard-Nordtveit,DF,Hoffenheim,de Bundesliga,30,7.8,11.0,71.1
Will Norris\Will-Norris,GK,Burnley,eng Premier League,26,2.0,3.00,
Oliver Norwood\Oliver-Norwood,MF,Sheffield Utd,eng Premier League,29,24.7,10.6,42.5
Olivier Ntcham\Olivier-Ntcham,MF,Marseille,fr Ligue 1,24,1.3,6.92,
Alexander Nübel\Alexander-Nubel,GK,Bayern Munich,de Bundesliga,23,1.0,4.00,
Kasim Nuhu\Kasim-Nuhu,DF,Hoffenheim,de Bundesliga,25,11.0,11.7,54.9
Unai Núñez\Unai-Nunez,DF,Athletic Club,es La Liga,23,23.4,8.80,67.0
Bram Nuytinck\Bram-Nuytinck,DF,Udinese,it Serie A,30,18.2,6.04,72.3
Kelechi Nwakali\Kelechi-Nwakali,MFFW,Huesca,es La Liga,22,1.6,8.13,66.7
Simeon Nwankwo\Simeon-Nwankwo,FW,Crotone,it Serie A,28,32.7,3.88,33.5
Gerzino Nyamsi\Gerzino-Nyamsi,DF,Rennes,fr Ligue 1,23,9.7,10.3,56.8
Allan Nyom\Allan-Nyom,MFDF,Getafe,es La Liga,32,25.8,6.86,61.0
M'Bala Nzola\MBala-Nzola,FW,Spezia,it Serie A,23,21.1,4.74,22.1
Steven Nzonzi\Steven-Nzonzi,MF,Rennes,fr Ligue 1,31,32.3,9.94,65.7
Jack O'Connell\Jack-OConnell,DF,Sheffield Utd,eng Premier League,26,2.0,10.5,33.3
Dara O'Shea\Dara-OShea,DF,West Brom,eng Premier League,21,23.4,9.10,63.2
Michael Obafemi\Michael-Obafemi,FW,Southampton,eng Premier League,20,0.7,4.29,0.0
Pedro Obiang\Pedro-Obiang,MF,Sassuolo,it Serie A,28,16.3,8.71,57.4
Jan Oblak\Jan-Oblak,GK,Atlético Madrid,es La Liga,27,38.0,3.82,
Lucas Ocampos\Lucas-Ocampos,FW,Sevilla,es La Liga,26,29.2,4.97,51.4
Bastian Oczipka\Bastian-Oczipka,DF,Schalke 04,de Bundesliga,31,21.4,8.36,46.7
Brain Oddei\Brain-Oddei,FWMF,Sassuolo,it Serie A,17,0.5,10.0,
Denis Odoi\Denis-Odoi,DF,Fulham,eng Premier League,32,3.0,11.7,53.8
Álvaro Odriozola\Alvaro-Odriozola,DF,Real Madrid,es La Liga,24,9.2,5.33,13.3
Angelo Ogbonna\Angelo-Ogbonna,DF,West Ham,eng Premier League,32,27.7,8.19,68.1
Stefano Okaka\Stefano-Okaka,FW,Udinese,it Serie A,30,16.5,3.27,33.7
Shinji Okazaki\Shinji-Okazaki,FWMF,Huesca,es La Liga,34,12.5,2.32,33.8
Masaya Okugawa\Masaya-Okugawa,MFFW,Arminia,de Bundesliga,24,10.2,6.76,37.0
Lucas Olaza\Lucas-Olaza,DF,Celta Vigo,es La Liga,26,17.9,9.27,47.1
Lucas Olaza\Lucas-Olaza,DF,Valladolid,es La Liga,26,14.0,7.86,59.5
Christian Oliva\Christian-Oliva,MF,Cagliari,it Serie A,24,4.3,9.77,55.6
Christian Oliva\Christian-Oliva,MF,Valencia,es La Liga,24,2.2,7.73,50.0
Kiko Olivas\Kiko-Olivas,DFMF,Valladolid,es La Liga,31,2.0,10.0,50.0
Paulo Oliveira\Paulo-Oliveira,DF,Eibar,es La Liga,28,29.3,12.5,63.4
Mathías Olivera\Mathias-Olivera,DF,Getafe,es La Liga,22,29.0,10.4,52.1
Maximiliano Olivera\Maximiliano-Olivera,DF,Fiorentina,it Serie A,28,1.0,5.00,33.3
Dani Olmo\Dani-Olmo,MFFW,RB Leipzig,de Bundesliga,22,24.4,9.59,43.1
Robin Olsen\Robin-Olsen,GK,Everton,eng Premier League,30,7.0,3.14,
Jonas Omlin\Jonas-Omlin,GK,Montpellier,fr Ligue 1,26,29.7,5.66,
Jerome Onguene\Jerome-Onguene,DF,Genoa,it Serie A,22,2.0,9.50,44.4
Karim Onisiwo\Karim-Onisiwo,FW,Mainz 05,de Bundesliga,28,20.5,5.07,40.5
Josh Onomah\Josh-Onomah,MF,Fulham,eng Premier League,23,4.2,8.10,36.4
Javier Ontiveros\Javier-Ontiveros,FWMF,Huesca,es La Liga,22,10.2,8.14,26.3
Henry Onyekuru\Henry-Onyekuru,FW,Monaco,fr Ligue 1,23,1.6,3.75,14.3
Willi Orban\Willi-Orban,DF,RB Leipzig,de Bundesliga,27,26.3,12.5,70.2
Fabián Orellana\Fabian-Orellana,MFFW,Valladolid,es La Liga,34,23.8,6.97,18.5
