,,,,,,Drib,Carr,Carr
Player,Pos,Squad,Comp,Age,90s,Succ,PrgDist,Mis
,,,,,,,,
Max Meyer\Max-Meyer,MF,Köln,de Bundesliga,24,3.9,0.77,104.4,2.05
Omenuke Mfulu\Omenuke-Mfulu,MF,Elche,es La Liga,26,8.8,0.11,49.5,1.02
Míchel\Michel,MF,Valladolid,es La Liga,32,10.5,0.57,110.0,0.57
Jonas Michel Dirkner\Jonas-Michel-Dirkner,MF,Hertha BSC,de Bundesliga,18,0.2,0.00,30.0,0.00
Jonas Michelbrink\Jonas-Michelbrink,MF,Hertha BSC,de Bundesliga,19,0.4,0.00,180.0,2.50
Clément Michelin\Clement-Michelin,DF,Lens,fr Ligue 1,23,12.8,0.31,93.4,0.55
Edouard Michut\Edouard-Michut,MF,Paris S-G,fr Ligue 1,17,0.0,0,0,0
Petar Mićin\Petar-Micin,MF,Udinese,it Serie A,21,0.2,0.00,55.0,0.00
Florian Miguel\Florian-Miguel,DF,Nîmes,fr Ligue 1,23,17.1,0.12,133.9,0.23
Valentin Mihaila\Valentin-Mihaila,FWMF,Parma,it Serie A,20,7.8,1.79,104.4,3.33
Nikola Milenković\Nikola-Milenkovic,DF,Fiorentina,it Serie A,22,33.7,0.27,102.2,0.27
Arkadiusz Milik\Arkadiusz-Milik,FW,Marseille,fr Ligue 1,26,13.6,0.51,37.3,2.87
Sergej Milinković-Savić\Sergej-Milinkovic-Savic,MF,Lazio,it Serie A,25,30.5,0.82,117.2,2.16
Vanja Milinković-Savić\Vanja-Milinkovic-Savic,GK,Torino,it Serie A,23,5.0,0.00,60.4,0.00
Éder Militão\Eder-Militao,DF,Real Madrid,es La Liga,22,12.6,0.16,111.0,0.40
Luka Milivojević\Luka-Milivojevic,MF,Crystal Palace,eng Premier League,29,26.2,0.53,75.2,0.27
Luis Milla\Luis-Milla,MF,Granada,es La Liga,25,13.9,0.72,79.9,0.72
Pere Milla\Pere-Milla,FWMF,Elche,es La Liga,27,22.0,0.77,58.5,2.86
Alejandro Millán\Alejandro-Millan,FW,Villarreal,es La Liga,20,0.0,0,0,0
Vincenzo Millico\Vincenzo-Millico,FWMF,Torino,it Serie A,19,0.2,0.00,90.0,0.00
Enzo Millot\Enzo-Millot,MF,Monaco,fr Ligue 1,18,0.5,0.00,50.0,2.00
James Milner\James-Milner,MFDF,Liverpool,eng Premier League,34,11.9,0.50,131.6,0.50
Santi Mina\Santi-Mina,FW,Celta Vigo,es La Liga,24,26.8,0.34,33.4,2.39
Yerry Mina\Yerry-Mina,DF,Everton,eng Premier League,25,21.5,0.00,178.0,0.05
Takumi Minamino\Takumi-Minamino,MFFW,Southampton,eng Premier League,25,7.9,0.63,75.7,1.65
Takumi Minamino\Takumi-Minamino,MFFW,Liverpool,eng Premier League,25,3.3,2.42,61.2,1.52
Tyrone Mings\Tyrone-Mings,DF,Aston Villa,eng Premier League,27,35.5,0.23,95.7,0.25
Óscar Mingueza\Oscar-Mingueza,DF,Barcelona,es La Liga,21,21.1,0.33,152.3,0.33
Rafa Mir\Rafa-Mir,FW,Huesca,es La Liga,23,32.0,0.53,41.4,2.81
Jorge Miramón\Jorge-Miramon,DF,Levante,es La Liga,31,19.2,0.73,102.1,0.52
Aleksei Miranchuk\Aleksei-Miranchuk,FWMF,Atalanta,it Serie A,24,7.5,2.13,126.4,1.73
Juan Miranda\Juan-Miranda,DF,Betis,es La Liga,20,18.4,0.27,61.4,0.49
Antonio Mirante\Antonio-Mirante,GK,Roma,it Serie A,37,12.8,0.00,40.5,0.00
Tyrick Mitchell\Tyrick-Mitchell,DF,Crystal Palace,eng Premier League,20,19.0,0.79,48.5,0.53
Aleksandar Mitrović\Aleksandar-Mitrovic,FW,Fulham,eng Premier League,25,15.6,0.90,29.8,3.53
Stefan Mitrović\Stefan-Mitrovic,DF,Strasbourg,fr Ligue 1,30,30.9,0.06,104.8,0.16
Maximilian Mittelstädt\Maximilian-Mittelstadt,DF,Hertha BSC,de Bundesliga,23,20.0,1.35,139.8,0.95
Henrikh Mkhitaryan\Henrikh-Mkhitaryan,FWMF,Roma,it Serie A,31,30.5,1.51,140.7,1.05
Jakub Moder\Jakub-Moder,DFMF,Brighton,eng Premier League,21,7.2,1.25,123.5,1.67
Anthony Modeste\Anthony-Modeste,FWMF,Köln,de Bundesliga,32,2.5,0.00,7.60,2.80
Anthony Modeste\Anthony-Modeste,FW,Saint-Étienne,fr Ligue 1,32,3.3,0.30,15.5,2.73
Luka Modrić\Luka-Modric,MF,Real Madrid,es La Liga,34,30.4,1.84,151.5,1.28
Terem Moffi\Terem-Moffi,FW,Lorient,fr Ligue 1,21,23.0,1.09,46.1,4.09
Kevin Möhwald\Kevin-Mohwald,MF,Werder Bremen,de Bundesliga,27,17.3,0.87,80.4,0.58
Niklas Moisander\Niklas-Moisander,DF,Werder Bremen,de Bundesliga,34,13.6,0.22,163.2,0.15
Dion Moise Sahi\Dion-Moise-Sahi,FWMF,Strasbourg,fr Ligue 1,18,1.0,4.00,196.0,3.00
Johan Mojica\Johan-Mojica,DF,Elche,es La Liga,27,13.4,0.97,105.1,0.82
Johan Mojica\Johan-Mojica,DFFW,Atalanta,it Serie A,27,3.3,0.91,123.9,1.82
Guillem Molina\Guillem-Molina,DF,Valencia,es La Liga,20,1.7,1.76,48.8,0.00
Jorge Molina\Jorge-Molina,FWMF,Granada,es La Liga,38,17.9,0.34,28.5,2.01
Nahuel Molina\Nahuel-Molina,DF,Udinese,it Serie A,22,20.3,0.99,97.1,1.13
Salvatore Molina\Salvatore-Molina,MFDF,Crotone,it Serie A,28,25.7,1.09,94.0,0.86
Victor Mollejo\Victor-Mollejo,MFDF,Getafe,es La Liga,19,0.8,2.50,162.5,0.00
Florent Mollet\Florent-Mollet,MF,Montpellier,fr Ligue 1,28,26.2,0.65,100.3,0.95
Jayson Molumby\Jayson-Molumby,MF,Brighton,eng Premier League,20,0.0,0,0,0
Alkhaly Momo Cissé\Alkhaly-Momo-Cisse,DFFW,Stuttgart,de Bundesliga,17,0.4,0.00,145.0,5.00
Jon Moncayola\Jon-Moncayola,MF,Osasuna,es La Liga,22,29.6,0.37,67.2,0.64
Gabriele Moncini\Gabriele-Moncini,FW,Benevento,it Serie A,24,4.0,0.75,27.8,4.75
Thomas Monconduit\Thomas-Monconduit,MF,Lorient,fr Ligue 1,29,12.8,0.63,120.0,1.09
Kévin Monnet-Paquet\Kevin-Monnet-Paquet,MFFW,Saint-Étienne,fr Ligue 1,31,6.3,1.11,64.8,1.43
Nacho Monreal\Nacho-Monreal,DF,Real Sociedad,es La Liga,34,23.1,0.35,61.3,0.56
Cristóbal Montiel\Cristobal-Montiel,DFFW,Fiorentina,it Serie A,20,0.0,0,0,0
Lorenzo Montipò\Lorenzo-Montipo,GK,Benevento,it Serie A,24,37.0,0.00,37.0,0.00
Ángel Montoro\Angel-Montoro,MF,Granada,es La Liga,32,15.1,0.13,50.0,0.53
Martín Montoya\Martin-Montoya,DF,Betis,es La Liga,29,2.7,0.74,73.3,0.37
Emre Mor\Emre-Mor,FWMF,Celta Vigo,es La Liga,23,5.6,3.04,58.8,3.04
Luca Mora\Luca-Mora,MFFW,Spezia,it Serie A,32,1.3,1.54,62.3,2.31
Wesley Moraes\Wesley-Moraes,MFFW,Aston Villa,eng Premier League,23,0.2,0.00,30.0,5.00
Álvaro Morata\Alvaro-Morata,FW,Juventus,it Serie A,27,22.4,1.21,76.5,2.77
Jan Morávek\Jan-Moravek,MF,Augsburg,de Bundesliga,30,3.0,0.00,69.7,1.00
Jon Morcillo\Jon-Morcillo,MFFW,Athletic Club,es La Liga,21,15.1,0.79,138.4,1.46
Jérémy Morel\Jeremy-Morel,DF,Lorient,fr Ligue 1,36,27.7,0.22,78.2,0.22
Alberto Moreno\Alberto-Moreno,DF,Villarreal,es La Liga,28,2.1,1.43,190.5,0.00
Álex Moreno\Alex-Moreno,DF,Betis,es La Liga,27,19.8,1.06,116.5,1.06
Gerard Moreno\Gerard-Moreno,FWMF,Villarreal,es La Liga,28,29.7,2.63,84.0,2.59
Tete Morente\Tete-Morente,MFFW,Elche,es La Liga,23,22.4,2.19,79.1,1.96
Mateu Morey\Mateu-Morey,DF,Dortmund,de Bundesliga,20,9.2,0.43,157.0,0.98
Wes Morgan\Wes-Morgan,DF,Leicester City,eng Premier League,36,0.2,0.00,25.0,0.00
Raúl Moro\Raul-Moro,MF,Lazio,it Serie A,17,0.1,0.00,0.00,0.00
Loren Morón\Loren-Moron,FWMF,Betis,es La Liga,26,11.0,0.91,32.0,2.82
Pedro Mosquera\Pedro-Mosquera,MF,Huesca,es La Liga,32,22.8,0.39,102.0,0.26
Aimen Moueffek\Aimen-Moueffek,DFMF,Saint-Étienne,fr Ligue 1,19,8.3,2.29,127.0,0.96
Youssoufa Moukoko\Youssoufa-Moukoko,FWMF,Dortmund,de Bundesliga,15,4.7,2.34,49.8,3.40
Harold Moukoudi\Harold-Moukoudi,DF,Saint-Étienne,fr Ligue 1,22,25.3,0.40,90.5,0.20
Jessy Moulin\Jessy-Moulin,GK,Saint-Étienne,fr Ligue 1,34,29.0,0.00,38.0,0.03
Steve Mounié\Steve-Mounie,FW,Brest,fr Ligue 1,25,29.8,0.64,32.8,2.58
Mason Mount\Mason-Mount,MFFW,Chelsea,eng Premier League,21,32.1,1.56,154.1,1.53
Lucas Moura\Lucas-Moura,FWMF,Tottenham,eng Premier League,27,15.7,2.29,128.3,2.42
Lys Mousset\Lys-Mousset,FWMF,Sheffield Utd,eng Premier League,24,3.3,1.21,22.1,3.33
João Moutinho\Joao-Moutinho,MF,Wolves,eng Premier League,33,28.1,0.36,110.8,0.39
Samuel Moutoussamy\Samuel-Moutoussamy,FW,Nantes,fr Ligue 1,23,0.9,0.00,68.9,3.33
Loris Mouyokolo\Loris-Mouyokolo,DF,Lorient,fr Ligue 1,19,0.2,0.00,0.00,5.00
Javi Moyano\Javi-Moyano,DF,Valladolid,es La Liga,34,1.1,0.00,12.7,0.00
Nordi Mukiele\Nordi-Mukiele,DF,RB Leipzig,de Bundesliga,22,18.6,0.86,127.3,1.34
Mert Müldür\Mert-Muldur,DF,Sassuolo,it Serie A,21,18.6,1.29,110.9,0.59
Florian Müller\Florian-Muller,GK,Freiburg,de Bundesliga,22,31.0,0.03,51.0,0.03
Sebastian Müller\Sebastian-Muller,MFDF,Arminia,de Bundesliga,19,0.0,0,0,0
Thomas Müller\Thomas-Muller,MF,Bayern Munich,de Bundesliga,30,29.7,1.18,81.0,2.79
Joel Mumbongo\Joel-Mumbongo,FW,Burnley,eng Premier League,21,0.4,0.00,27.5,2.50
Marshall Munetsi\Marshall-Munetsi,MFDF,Reims,fr Ligue 1,24,21.4,0.56,75.4,0.98
Iker Muniain\Iker-Muniain,MFFW,Athletic Club,es La Liga,27,21.6,2.08,109.4,1.76
Aihen Muñoz\Aihen-Munoz,DF,Real Sociedad,es La Liga,22,13.4,0.90,77.4,0.37
Joaquín Muñoz\Joaquin-Munoz,FW,Huesca,es La Liga,21,0.5,6.00,132.0,6.00
Luis Muriel\Luis-Muriel,FW,Atalanta,it Serie A,29,16.0,3.44,137.9,3.31
Jeison Murillo\Jeison-Murillo,DF,Celta Vigo,es La Liga,28,30.0,0.17,98.2,0.20
Vedat Muriqi\Vedat-Muriqi,FW,Lazio,it Serie A,26,9.2,0.65,27.2,2.93
Jacob Murphy\Jacob-Murphy,DFMF,Newcastle Utd,eng Premier League,25,18.1,2.43,112.3,1.10
Nicola Murru\Nicola-Murru,DF,Torino,it Serie A,25,6.3,0.48,98.4,0.63
Petar Musa\Petar-Musa,FW,Union Berlin,de Bundesliga,22,7.9,0.13,26.2,3.80
Mateo Musacchio\Mateo-Musacchio,DF,Lazio,it Serie A,29,2.5,0.40,91.6,0.80
Mateo Musacchio\Mateo-Musacchio,DF,Milan,it Serie A,29,0.4,0.00,105.0,0.00
Yunus Musah\Yunus-Musah,MF,Valencia,es La Liga,17,17.0,1.59,91.8,2.41
Jamal Musiala\Jamal-Musiala,FWMF,Bayern Munich,de Bundesliga,17,9.8,3.78,128.7,3.16
Juan Musso\Juan-Musso,GK,Udinese,it Serie A,26,35.0,0.03,38.2,0.00
Shkodran Mustafi\Shkodran-Mustafi,DF,Arsenal,eng Premier League,28,0.5,0.00,420.0,0.00
Shkodran Mustafi\Shkodran-Mustafi,DF,Schalke 04,de Bundesliga,28,11.5,0.09,115.7,0.26
Yoshinori Mutō\Yoshinori-Muto,FWMF,Eibar,es La Liga,28,12.5,1.36,43.4,2.24
Phillipp Mwene\Phillipp-Mwene,DF,Mainz 05,de Bundesliga,26,18.6,0.59,63.9,1.08
Joakim Mæhle\Joakim-Maehle,DF,Atalanta,it Serie A,23,13.5,1.41,120.3,1.11
Obite N'Dicka\Obite-NDicka,DF,Eint Frankfurt,de Bundesliga,20,22.7,0.35,144.1,0.84
Kévin N'Doram\Kevin-NDoram,MF,Metz,fr Ligue 1,24,3.4,0.59,99.4,0.29
Stanley N'Soki\Stanley-NSoki,DF,Nice,fr Ligue 1,21,13.8,0.29,165.3,0.58
Nacho\Nacho,DF,Real Madrid,es La Liga,30,22.2,0.32,126.8,0.27
Nacho\Nacho,DF,Valladolid,es La Liga,31,20.1,0.45,90.4,0.80
Yuto Nagatomo\Yuto-Nagatomo,DF,Marseille,fr Ligue 1,33,17.7,0.56,60.3,0.79
Kenny Nagera\Kenny-Nagera,FW,Paris S-G,fr Ligue 1,18,0.0,1,1,0
Radja Nainggolan\Radja-Nainggolan,MF,Cagliari,it Serie A,32,20.5,1.41,114.5,1.17
Radja Nainggolan\Radja-Nainggolan,MF,Inter,it Serie A,32,0.5,0.00,88.0,2.00
Marvelous Nakamba\Marvelous-Nakamba,MF,Aston Villa,eng Premier League,26,8.3,0.24,42.9,0.48
Nahitan Nández\Nahitan-Nandez,MFDF,Cagliari,it Serie A,24,30.4,1.25,114.8,1.41
Nano\Nano,FW,Cádiz,es La Liga,25,0.1,10.0,0.00,0.00
Paul Nardi\Paul-Nardi,GK,Lorient,fr Ligue 1,26,23.0,0.00,30.3,0.00
Matija Nastasić\Matija-Nastasic,DF,Schalke 04,de Bundesliga,27,13.6,0.07,80.0,0.00
Roberto Navarro\Roberto-Navarro,MF,Real Sociedad,es La Liga,18,0.4,0.00,135.0,2.50
Ximo Navarro\Ximo-Navarro,DF,Alavés,es La Liga,30,26.4,0.61,77.0,0.42
Jesús Navas\Jesus-Navas,DF,Sevilla,es La Liga,34,31.4,0.61,147.5,0.67
Keylor Navas\Keylor-Navas,GK,Paris S-G,fr Ligue 1,33,28.0,0.04,31.3,0.00
Raúl Navas\Raul-Navas,DF,Osasuna,es La Liga,32,1.9,0.00,44.7,0.00
Papa Ndiaga Yade\Papa-Ndiaga-Yade,FWMF,Metz,fr Ligue 1,20,11.1,2.43,118.4,2.79
Iliman Ndiaye\Iliman-Ndiaye,MF,Sheffield Utd,eng Premier League,21,0.1,0.00,110.0,10.0
Wilfred Ndidi\Wilfred-Ndidi,MFDF,Leicester City,eng Premier League,23,24.2,0.45,74.3,0.74
Bridge Ndilu\Bridge-Ndilu,MFFW,Nantes,fr Ligue 1,20,0.5,4.00,148.0,4.00
Tanguy Ndombele\Tanguy-Ndombele,MF,Tottenham,eng Premier League,23,23.2,3.02,125.0,1.34
Dan Ndoye\Dan-Ndoye,FWMF,Nice,fr Ligue 1,19,6.1,1.97,114.4,3.61
Paul Nebel\Paul-Nebel,MFFW,Mainz 05,de Bundesliga,17,0.6,1.67,118.3,0.00
Álvaro Negredo\Alvaro-Negredo,FW,Cádiz,es La Liga,34,24.4,1.11,18.8,2.87
Reiss Nelson\Reiss-Nelson,FW,Arsenal,eng Premier League,20,0.8,1.25,161.3,1.25
Ilija Nestorovski\Ilija-Nestorovski,FWMF,Udinese,it Serie A,30,7.8,0.51,24.7,1.03
Neto\Neto,GK,Barcelona,es La Liga,31,7.0,0.00,43.6,0.00
Pedro Neto\Pedro-Neto,FWMF,Wolves,eng Premier League,20,28.3,2.61,178.8,2.54
Luca Netz\Luca-Netz,DFMF,Hertha BSC,de Bundesliga,17,3.4,1.47,106.8,1.18
Manuel Neuer\Manuel-Neuer,GK,Bayern Munich,de Bundesliga,34,33.0,0.06,46.8,0.00
Florian Neuhaus\Florian-Neuhaus,MF,M'Gladbach,de Bundesliga,23,29.1,1.58,166.5,1.10
Carlos Neva\Carlos-Neva,DF,Granada,es La Liga,24,20.0,0.35,43.1,0.30
Rúben Neves\Ruben-Neves,MF,Wolves,eng Premier League,23,29.7,0.40,103.0,0.54
Neymar\Neymar,MFFW,Paris S-G,fr Ligue 1,28,15.7,6.18,245.3,4.01
Yvan Neyou\Yvan-Neyou,MF,Saint-Étienne,fr Ligue 1,23,27.1,2.21,121.1,0.70
Jessic Ngankam\Jessic-Ngankam,FW,Hertha BSC,de Bundesliga,20,3.3,1.82,27.0,4.24
Muzinga Ngonda\Muzinga-Ngonda,DF,Dijon,fr Ligue 1,25,25.6,1.60,109.7,0.94
Ahmad Ngouyamsa\Ahmad-Ngouyamsa,DF,Dijon,fr Ligue 1,19,1.7,0.00,64.1,1.18
Opa Nguette\Opa-Nguette,FWMF,Metz,fr Ligue 1,26,12.6,2.78,72.6,3.81
Moussa Niakhate\Moussa-Niakhate,DF,Mainz 05,de Bundesliga,24,31.8,0.44,115.9,0.35
Ibrahima Niane\Ibrahima-Niane,FW,Metz,fr Ligue 1,21,7.4,1.49,36.4,4.59
M'Baye Niang\MBaye-Niang,FW,Rennes,fr Ligue 1,25,4.7,0.21,14.0,2.77
Mamor Niang\Mamor-Niang,FWMF,Getafe,es La Liga,18,0.2,10.0,10.0,20.0
Florian Niederlechner\Florian-Niederlechner,FW,Augsburg,de Bundesliga,29,19.3,0.98,28.6,2.02
Nieto\Nieto,FWMF,Cádiz,es La Liga,22,0.2,0.00,20.0,0.00
Saúl Ñíguez\Saul-Niguez,MFDF,Atlético Madrid,es La Liga,25,22.6,0.53,62.5,1.11
Joakim Nilsson\Joakim-Nilsson,DF,Arminia,de Bundesliga,26,24.0,0.17,87.0,0.21
Casimir Ninga\Casimir-Ninga,FW,Angers,fr Ligue 1,27,0.3,6.67,186.7,3.33
Nino\Nino,MFFW,Elche,es La Liga,40,3.2,0.31,50.6,1.25
Fernando Niño\Fernando-Nino,FW,Villarreal,es La Liga,19,6.6,1.36,35.6,2.58
Eddie Nketiah\Eddie-Nketiah,FW,Arsenal,eng Premier League,21,4.7,2.13,43.2,1.91
Nicolas Nkoulou\Nicolas-Nkoulou,DF,Torino,it Serie A,30,15.1,0.20,70.9,0.20
Niels Nkounkou\Niels-Nkounkou,DFFW,Everton,eng Premier League,19,0.9,3.33,104.4,4.44
Christopher Nkunku\Christopher-Nkunku,FWMF,RB Leipzig,de Bundesliga,22,21.0,1.67,113.0,2.29
Dan Nlundulu\Dan-Nlundulu,FW,Southampton,eng Premier League,21,1.2,3.33,11.7,4.17
Mark Noble\Mark-Noble,MF,West Ham,eng Premier League,33,7.9,0.38,77.2,0.38
Nolito\Nolito,MFFW,Celta Vigo,es La Liga,33,28.9,0.83,69.0,1.45
Arnaud Nordin\Arnaud-Nordin,MFFW,Saint-Étienne,fr Ligue 1,22,19.7,1.62,112.1,1.78
Håvard Nordtveit\Havard-Nordtveit,DF,Hoffenheim,de Bundesliga,30,7.8,0.51,116.8,0.00
Will Norris\Will-Norris,GK,Burnley,eng Premier League,26,2.0,0.00,43.0,0.00
Oliver Norwood\Oliver-Norwood,MF,Sheffield Utd,eng Premier League,29,24.7,0.16,56.3,0.45
Olivier Ntcham\Olivier-Ntcham,MF,Marseille,fr Ligue 1,24,1.3,1.54,93.8,0.77
Alexander Nübel\Alexander-Nubel,GK,Bayern Munich,de Bundesliga,23,1.0,0.00,28.0,0.00
Kasim Nuhu\Kasim-Nuhu,DF,Hoffenheim,de Bundesliga,25,11.0,0.64,130.2,0.45
Unai Núñez\Unai-Nunez,DF,Athletic Club,es La Liga,23,23.4,0.30,133.6,0.17
Bram Nuytinck\Bram-Nuytinck,DF,Udinese,it Serie A,30,18.2,0.16,113.5,0.00
Kelechi Nwakali\Kelechi-Nwakali,MFFW,Huesca,es La Liga,22,1.6,1.88,98.1,2.50
Simeon Nwankwo\Simeon-Nwankwo,FW,Crotone,it Serie A,28,32.7,0.98,23.4,3.43
Gerzino Nyamsi\Gerzino-Nyamsi,DF,Rennes,fr Ligue 1,23,9.7,0.31,154.1,0.41
Allan Nyom\Allan-Nyom,MFDF,Getafe,es La Liga,32,25.8,0.50,49.3,0.74
M'Bala Nzola\MBala-Nzola,FW,Spezia,it Serie A,23,21.1,1.04,39.4,4.17
Steven Nzonzi\Steven-Nzonzi,MF,Rennes,fr Ligue 1,31,32.3,0.43,121.5,0.46
Jack O'Connell\Jack-OConnell,DF,Sheffield Utd,eng Premier League,26,2.0,0.00,41.0,0.00
Dara O'Shea\Dara-OShea,DF,West Brom,eng Premier League,21,23.4,0.21,48.1,0.26
Michael Obafemi\Michael-Obafemi,FW,Southampton,eng Premier League,20,0.7,0.00,25.7,2.86
Pedro Obiang\Pedro-Obiang,MF,Sassuolo,it Serie A,28,16.3,0.74,95.5,0.55
Jan Oblak\Jan-Oblak,GK,Atlético Madrid,es La Liga,27,38.0,0.03,32.6,0.00
Lucas Ocampos\Lucas-Ocampos,FW,Sevilla,es La Liga,26,29.2,2.47,118.1,1.95
Bastian Oczipka\Bastian-Oczipka,DF,Schalke 04,de Bundesliga,31,21.4,0.61,113.3,1.03
Brain Oddei\Brain-Oddei,FWMF,Sassuolo,it Serie A,17,0.5,6.00,116.0,6.00
Denis Odoi\Denis-Odoi,DF,Fulham,eng Premier League,32,3.0,0.00,214.0,0.00
Álvaro Odriozola\Alvaro-Odriozola,DF,Real Madrid,es La Liga,24,9.2,0.76,121.5,1.30
Angelo Ogbonna\Angelo-Ogbonna,DF,West Ham,eng Premier League,32,27.7,0.14,72.5,0.14
Stefano Okaka\Stefano-Okaka,FW,Udinese,it Serie A,30,16.5,0.97,24.6,3.09
Shinji Okazaki\Shinji-Okazaki,FWMF,Huesca,es La Liga,34,12.5,0.40,18.2,2.08
Masaya Okugawa\Masaya-Okugawa,MFFW,Arminia,de Bundesliga,24,10.2,0.69,29.4,1.47
Lucas Olaza\Lucas-Olaza,DF,Valladolid,es La Liga,26,14.0,0.43,74.8,0.21
Lucas Olaza\Lucas-Olaza,DF,Celta Vigo,es La Liga,26,17.9,0.50,100.2,0.28
Christian Oliva\Christian-Oliva,MF,Cagliari,it Serie A,24,4.3,0.70,104.7,0.00
Christian Oliva\Christian-Oliva,MF,Valencia,es La Liga,24,2.2,0.91,98.2,0.00
Kiko Olivas\Kiko-Olivas,DFMF,Valladolid,es La Liga,31,2.0,0.00,159.5,0.00
Paulo Oliveira\Paulo-Oliveira,DF,Eibar,es La Liga,28,29.3,0.10,59.5,0.14
Mathías Olivera\Mathias-Olivera,DF,Getafe,es La Liga,22,29.0,0.76,78.9,0.97
Maximiliano Olivera\Maximiliano-Olivera,DF,Fiorentina,it Serie A,28,1.0,0.00,12.0,0.00
Dani Olmo\Dani-Olmo,MFFW,RB Leipzig,de Bundesliga,22,24.4,0.98,101.2,2.30
Robin Olsen\Robin-Olsen,GK,Everton,eng Premier League,30,7.0,0.00,25.7,0.00
Jonas Omlin\Jonas-Omlin,GK,Montpellier,fr Ligue 1,26,29.7,0.03,49.4,0.00
Jerome Onguene\Jerome-Onguene,DF,Genoa,it Serie A,22,2.0,0.00,40.0,0.50
Karim Onisiwo\Karim-Onisiwo,FW,Mainz 05,de Bundesliga,28,20.5,1.71,82.0,3.85
Josh Onomah\Josh-Onomah,MF,Fulham,eng Premier League,23,4.2,0.24,115.5,1.67
Javier Ontiveros\Javier-Ontiveros,FWMF,Huesca,es La Liga,22,10.2,4.12,206.9,1.37
Henry Onyekuru\Henry-Onyekuru,FW,Monaco,fr Ligue 1,23,1.6,2.50,103.8,1.25
Willi Orban\Willi-Orban,DF,RB Leipzig,de Bundesliga,27,26.3,0.34,210.5,0.30
Fabián Orellana\Fabian-Orellana,MFFW,Valladolid,es La Liga,34,23.8,1.26,109.5,2.06
Divock Origi\Divock-Origi,FW,Liverpool,eng Premier League,25,2.1,0.48,102.4,3.81
Riccardo Orsolini\Riccardo-Orsolini,FWMF,Bologna,it Serie A,23,19.5,2.00,104.1,2.05
Stefan Ortega\Stefan-Ortega,GK,Arminia,de Bundesliga,27,34.0,0.00,133.6,0.03
Yuya Osako\Yuya-Osako,MFFW,Werder Bremen,de Bundesliga,30,8.5,1.53,55.1,2.82
Ben Osborn\Ben-Osborn,MFDF,Sheffield Utd,eng Premier League,25,17.8,1.01,96.5,1.85
Victor Osimhen\Victor-Osimhen,FW,Napoli,it Serie A,21,17.5,0.91,58.8,2.34
Yordan Osorio\Yordan-Osorio,DF,Parma,it Serie A,26,20.1,0.80,127.4,0.45
David Ospina\David-Ospina,GK,Napoli,it Serie A,31,16.0,0.06,56.4,0.00
Owen Otasowie\Owen-Otasowie,MFFW,Wolves,eng Premier League,19,2.1,1.43,78.6,2.86
Otávio\Otavio,MF,Bordeaux,fr Ligue 1,26,17.3,0.35,73.7,0.46
Paulo Otávio\Paulo-Otavio,DF,Wolfsburg,de Bundesliga,25,19.3,1.30,140.1,1.30
Remi Oudin\Remi-Oudin,FWMF,Bordeaux,fr Ligue 1,23,26.9,0.63,84.5,1.78
Alexandre Oukidja\Alexandre-Oukidja,GK,Metz,fr Ligue 1,32,34.0,0.09,41.2,0.03
Zinédine Ould Khaled\Zinedine-Ould-Khaled,MF,Angers,fr Ligue 1,20,0.4,0.00,135.0,0.00
Adam Ounas\Adam-Ounas,FWMF,Crotone,it Serie A,23,13.3,3.46,160.4,1.73
Adam Ounas\Adam-Ounas,MFFW,Cagliari,it Serie A,23,3.4,5.88,116.5,2.06
Thomas Ouwejan\Thomas-Ouwejan,DF,Udinese,it Serie A,23,4.6,0.65,110.0,1.30
Reece Oxford\Reece-Oxford,DF,Augsburg,de Bundesliga,21,15.1,0.26,97.1,0.40
Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,FWMF,Liverpool,eng Premier League,26,2.8,0.71,113.9,2.86
Mikel Oyarzabal\Mikel-Oyarzabal,FWMF,Real Sociedad,es La Liga,23,26.8,1.12,85.5,1.75
Ambroise Oyongo\Ambroise-Oyongo,DF,Montpellier,fr Ligue 1,29,6.2,0.32,86.1,0.81
Salih Özcan\Salih-Ozcan,MFFW,Köln,de Bundesliga,22,15.2,0.46,88.3,1.91
Levin Öztunalı\Levin-Oztunali,DFFW,Mainz 05,de Bundesliga,24,8.4,1.43,113.8,1.79
Pablo\Pablo,DF,Bordeaux,fr Ligue 1,29,12.0,0.00,105.8,0.42
Fernando Pacheco\Fernando-Pacheco,GK,Alavés,es La Liga,28,37.2,0.00,40.8,0.00
Jon Pacheco\Jon-Pacheco,DF,Real Sociedad,es La Liga,19,0.4,2.50,350.0,0.00
Gonçalo Paciência\Goncalo-Paciencia,FW,Schalke 04,de Bundesliga,25,8.3,1.33,47.7,3.98
Daniele Padelli\Daniele-Padelli,GK,Inter,it Serie A,34,0.5,0.00,0.00,0.00
Mattia Pagliuca\Mattia-Pagliuca,MF,Bologna,it Serie A,18,0.1,10.0,0.00,10.0
Vincent Pajot\Vincent-Pajot,MF,Metz,fr Ligue 1,29,10.2,0.39,78.5,0.20
Rodrigo Palacio\Rodrigo-Palacio,FW,Bologna,it Serie A,38,27.8,1.55,108.3,2.73
Exequiel Palacios\Exequiel-Palacios,MF,Leverkusen,de Bundesliga,21,6.4,0.63,92.0,1.09
Helibelton Palacios\Helibelton-Palacios,DF,Elche,es La Liga,27,8.3,0.72,68.2,0.36
