,,,,,Play,Play,Perf,Perf,Per,Expe,Expe
Player,Pos,Squad,Comp,Age,MP,Min,Gls,Ast,G+A,xG,xA
,,,,,,,,,,,
Rafa Mir\Rafa-Mir,FW,Huesca,es La Liga,23,38,2877,0.41,0.03,0.44,0.42,0.06
Jorge Miramón\Jorge-Miramon,DF,Levante,es La Liga,31,26,1732,0.00,0.16,0.16,0.04,0.07
Aleksei Miranchuk\Aleksei-Miranchuk,FWMF,Atalanta,it Serie A,24,25,675,0.53,0.27,0.80,0.24,0.33
Juan Miranda\Juan-Miranda,DF,Betis,es La Liga,20,22,1652,0.05,0.11,0.16,0.03,0.07
Antonio Mirante\Antonio-Mirante,GK,Roma,it Serie A,37,13,1153,0.00,0.00,0.00,0.00,0.00
Tyrick Mitchell\Tyrick-Mitchell,DF,Crystal Palace,eng Premier League,20,19,1710,0.05,0.05,0.11,0.02,0.02
Aleksandar Mitrović\Aleksandar-Mitrovic,FW,Fulham,eng Premier League,25,27,1402,0.19,0.19,0.39,0.42,0.17
Stefan Mitrović\Stefan-Mitrovic,DF,Strasbourg,fr Ligue 1,30,32,2784,0.06,0.00,0.06,0.03,0.00
Maximilian Mittelstädt\Maximilian-Mittelstadt,DF,Hertha BSC,de Bundesliga,23,27,1797,0.00,0.10,0.10,0.04,0.10
Henrikh Mkhitaryan\Henrikh-Mkhitaryan,FWMF,Roma,it Serie A,31,34,2745,0.43,0.33,0.75,0.40,0.30
Jakub Moder\Jakub-Moder,DFMF,Brighton,eng Premier League,21,12,647,0.00,0.00,0.00,0.13,0.03
Anthony Modeste\Anthony-Modeste,FWMF,Köln,de Bundesliga,32,8,221,0.00,0.00,0.00,0.72,0.00
Anthony Modeste\Anthony-Modeste,FW,Saint-Étienne,fr Ligue 1,32,7,293,0.00,0.00,0.00,0.27,0.03
Luka Modrić\Luka-Modric,MF,Real Madrid,es La Liga,34,35,2733,0.16,0.10,0.26,0.09,0.13
Terem Moffi\Terem-Moffi,FW,Lorient,fr Ligue 1,21,32,2073,0.61,0.09,0.69,0.54,0.17
Kevin Möhwald\Kevin-Mohwald,MF,Werder Bremen,de Bundesliga,27,27,1555,0.29,0.06,0.35,0.08,0.06
Niklas Moisander\Niklas-Moisander,DF,Werder Bremen,de Bundesliga,34,18,1222,0.00,0.00,0.00,0.00,0.00
Dion Moise Sahi\Dion-Moise-Sahi,FWMF,Strasbourg,fr Ligue 1,18,6,94,1.00,0.00,0.96,0.40,0.00
Johan Mojica\Johan-Mojica,DF,Elche,es La Liga,27,17,1204,0.00,0.00,0.00,0.01,0.06
Johan Mojica\Johan-Mojica,DFFW,Atalanta,it Serie A,27,11,299,0.00,0.00,0.00,0.03,0.09
Guillem Molina\Guillem-Molina,DF,Valencia,es La Liga,20,2,153,0.00,0.00,0.00,0.00,0.00
Jorge Molina\Jorge-Molina,FWMF,Granada,es La Liga,38,33,1615,0.45,0.11,0.56,0.28,0.12
Nahuel Molina\Nahuel-Molina,DF,Udinese,it Serie A,22,29,1828,0.10,0.25,0.34,0.08,0.12
Salvatore Molina\Salvatore-Molina,MFDF,Crotone,it Serie A,28,29,2315,0.04,0.16,0.19,0.03,0.11
Victor Mollejo\Victor-Mollejo,MFDF,Getafe,es La Liga,19,4,72,0.00,0.00,0.00,0.00,0.13
Florent Mollet\Florent-Mollet,MF,Montpellier,fr Ligue 1,28,34,2355,0.11,0.19,0.31,0.13,0.13
Jayson Molumby\Jayson-Molumby,MF,Brighton,eng Premier League,20,1,1,0,0,0.00,0.0,0.0
Alkhaly Momo Cissé\Alkhaly-Momo-Cisse,DFFW,Stuttgart,de Bundesliga,17,5,38,0.00,0.00,0.00,0.00,0.00
Jon Moncayola\Jon-Moncayola,MF,Osasuna,es La Liga,22,36,2660,0.07,0.00,0.07,0.05,0.04
Gabriele Moncini\Gabriele-Moncini,FW,Benevento,it Serie A,24,10,357,0.00,0.00,0.00,0.25,0.03
Thomas Monconduit\Thomas-Monconduit,MF,Lorient,fr Ligue 1,29,27,1153,0.16,0.00,0.16,0.09,0.09
Kévin Monnet-Paquet\Kevin-Monnet-Paquet,MFFW,Saint-Étienne,fr Ligue 1,31,16,564,0.00,0.00,0.00,0.03,0.05
Nacho Monreal\Nacho-Monreal,DF,Real Sociedad,es La Liga,34,26,2082,0.04,0.04,0.09,0.03,0.05
Cristóbal Montiel\Cristobal-Montiel,DFFW,Fiorentina,it Serie A,20,2,4,0,0,0.00,0.0,0.0
Lorenzo Montipò\Lorenzo-Montipo,GK,Benevento,it Serie A,24,37,3330,0.00,0.00,0.00,0.00,0.00
Ángel Montoro\Angel-Montoro,MF,Granada,es La Liga,32,22,1362,0.07,0.07,0.13,0.09,0.11
Martín Montoya\Martin-Montoya,DF,Betis,es La Liga,29,5,239,0.00,0.00,0.00,0.00,0.11
Emre Mor\Emre-Mor,FWMF,Celta Vigo,es La Liga,23,11,500,0.00,0.00,0.00,0.05,0.04
Luca Mora\Luca-Mora,MFFW,Spezia,it Serie A,32,4,113,0.00,0.00,0.00,0.08,0.00
Wesley Moraes\Wesley-Moraes,MFFW,Aston Villa,eng Premier League,23,3,18,0.00,0.00,0.00,0.00,0.00
Álvaro Morata\Alvaro-Morata,FW,Juventus,it Serie A,27,32,2014,0.49,0.40,0.89,0.49,0.21
Jan Morávek\Jan-Moravek,MF,Augsburg,de Bundesliga,30,5,267,0.00,0.00,0.00,0.03,0.00
Jon Morcillo\Jon-Morcillo,MFFW,Athletic Club,es La Liga,21,30,1363,0.13,0.13,0.26,0.10,0.19
Jérémy Morel\Jeremy-Morel,DF,Lorient,fr Ligue 1,36,28,2493,0.00,0.00,0.00,0.02,0.01
Alberto Moreno\Alberto-Moreno,DF,Villarreal,es La Liga,28,5,193,0.00,0.00,0.00,0.14,0.00
Álex Moreno\Alex-Moreno,DF,Betis,es La Liga,27,23,1786,0.00,0.10,0.10,0.04,0.11
Gerard Moreno\Gerard-Moreno,FWMF,Villarreal,es La Liga,28,33,2673,0.77,0.24,1.01,0.64,0.26
Tete Morente\Tete-Morente,MFFW,Elche,es La Liga,23,30,2019,0.09,0.22,0.31,0.11,0.11
Mateu Morey\Mateu-Morey,DF,Dortmund,de Bundesliga,20,13,829,0.00,0.22,0.22,0.01,0.07
Wes Morgan\Wes-Morgan,DF,Leicester City,eng Premier League,36,3,18,0.00,0.00,0.00,0.00,0.00
Raúl Moro\Raul-Moro,MF,Lazio,it Serie A,17,1,11,0.00,0.00,0.00,0.00,0.00
Loren Morón\Loren-Moron,FWMF,Betis,es La Liga,26,26,991,0.09,0.00,0.09,0.22,0.04
Pedro Mosquera\Pedro-Mosquera,MF,Huesca,es La Liga,32,27,2050,0.00,0.00,0.00,0.01,0.03
Aimen Moueffek\Aimen-Moueffek,DFMF,Saint-Étienne,fr Ligue 1,19,19,743,0.00,0.00,0.00,0.02,0.05
Youssoufa Moukoko\Youssoufa-Moukoko,FWMF,Dortmund,de Bundesliga,15,14,422,0.64,0.00,0.64,0.60,0.15
Harold Moukoudi\Harold-Moukoudi,DF,Saint-Étienne,fr Ligue 1,22,26,2276,0.12,0.04,0.16,0.08,0.03
Jessy Moulin\Jessy-Moulin,GK,Saint-Étienne,fr Ligue 1,34,29,2610,0.00,0.00,0.00,0.00,0.00
Steve Mounié\Steve-Mounie,FW,Brest,fr Ligue 1,25,35,2680,0.30,0.13,0.44,0.39,0.08
Mason Mount\Mason-Mount,MFFW,Chelsea,eng Premier League,21,36,2890,0.19,0.16,0.34,0.21,0.24
Lucas Moura\Lucas-Moura,FWMF,Tottenham,eng Premier League,27,30,1411,0.19,0.25,0.45,0.14,0.15
Lys Mousset\Lys-Mousset,FWMF,Sheffield Utd,eng Premier League,24,11,296,0.00,0.00,0.00,0.21,0.09
João Moutinho\Joao-Moutinho,MF,Wolves,eng Premier League,33,33,2528,0.04,0.04,0.07,0.02,0.09
Samuel Moutoussamy\Samuel-Moutoussamy,FW,Nantes,fr Ligue 1,23,1,82,0.00,0.00,0.00,0.11,0.00
Loris Mouyokolo\Loris-Mouyokolo,DF,Lorient,fr Ligue 1,19,1,19,0.00,0.00,0.00,0.00,0.00
Javi Moyano\Javi-Moyano,DF,Valladolid,es La Liga,34,2,103,0.00,0.00,0.00,0.00,0.00
Nordi Mukiele\Nordi-Mukiele,DF,RB Leipzig,de Bundesliga,22,28,1677,0.16,0.05,0.21,0.12,0.08
Mert Müldür\Mert-Muldur,DF,Sassuolo,it Serie A,21,28,1672,0.00,0.00,0.00,0.05,0.03
Florian Müller\Florian-Muller,GK,Freiburg,de Bundesliga,22,31,2790,0.00,0.00,0.00,0.00,0.00
Sebastian Müller\Sebastian-Muller,MFDF,Arminia,de Bundesliga,19,2,4,0,0,0.00,0.0,0.0
Thomas Müller\Thomas-Muller,MF,Bayern Munich,de Bundesliga,30,32,2674,0.37,0.64,1.01,0.24,0.39
Joel Mumbongo\Joel-Mumbongo,FW,Burnley,eng Premier League,21,4,40,0.00,0.00,0.00,0.00,0.00
Marshall Munetsi\Marshall-Munetsi,MFDF,Reims,fr Ligue 1,24,27,1928,0.05,0.00,0.05,0.04,0.01
Iker Muniain\Iker-Muniain,MFFW,Athletic Club,es La Liga,27,28,1943,0.23,0.14,0.37,0.18,0.14
Aihen Muñoz\Aihen-Munoz,DF,Real Sociedad,es La Liga,22,16,1210,0.00,0.07,0.07,0.02,0.04
Joaquín Muñoz\Joaquin-Munoz,FW,Huesca,es La Liga,21,3,41,0.00,0.00,0.00,0.00,0.00
Luis Muriel\Luis-Muriel,FW,Atalanta,it Serie A,29,36,1436,1.38,0.44,1.82,1.01,0.31
Jeison Murillo\Jeison-Murillo,DF,Celta Vigo,es La Liga,28,31,2699,0.07,0.00,0.07,0.02,0.01
Vedat Muriqi\Vedat-Muriqi,FW,Lazio,it Serie A,26,27,832,0.11,0.00,0.11,0.50,0.03
Jacob Murphy\Jacob-Murphy,DFMF,Newcastle Utd,eng Premier League,25,26,1626,0.11,0.17,0.28,0.07,0.13
Nicola Murru\Nicola-Murru,DF,Torino,it Serie A,25,14,569,0.00,0.00,0.00,0.06,0.02
Petar Musa\Petar-Musa,FW,Union Berlin,de Bundesliga,22,14,715,0.13,0.38,0.50,0.32,0.10
Mateo Musacchio\Mateo-Musacchio,DF,Lazio,it Serie A,29,4,229,0.00,0.00,0.00,0.00,0.00
Mateo Musacchio\Mateo-Musacchio,DF,Milan,it Serie A,29,1,34,0.00,0.00,0.00,0.00,0.00
Yunus Musah\Yunus-Musah,MF,Valencia,es La Liga,17,32,1530,0.06,0.00,0.06,0.04,0.05
Jamal Musiala\Jamal-Musiala,FWMF,Bayern Munich,de Bundesliga,17,26,881,0.61,0.10,0.72,0.32,0.09
Juan Musso\Juan-Musso,GK,Udinese,it Serie A,26,35,3147,0.00,0.00,0.00,0.00,0.00
Shkodran Mustafi\Shkodran-Mustafi,DF,Arsenal,eng Premier League,28,3,47,0.00,0.00,0.00,0.00,0.00
Shkodran Mustafi\Shkodran-Mustafi,DF,Schalke 04,de Bundesliga,28,13,1037,0.09,0.00,0.09,0.04,0.00
Yoshinori Mutō\Yoshinori-Muto,FWMF,Eibar,es La Liga,28,26,1122,0.08,0.08,0.16,0.16,0.09
Phillipp Mwene\Phillipp-Mwene,DF,Mainz 05,de Bundesliga,26,20,1674,0.05,0.11,0.16,0.01,0.08
Joakim Mæhle\Joakim-Maehle,DF,Atalanta,it Serie A,23,20,1216,0.00,0.15,0.15,0.10,0.11
Obite N'Dicka\Obite-NDicka,DF,Eint Frankfurt,de Bundesliga,20,23,2044,0.13,0.04,0.18,0.05,0.01
Kévin N'Doram\Kevin-NDoram,MF,Metz,fr Ligue 1,24,6,307,0.00,0.00,0.00,0.00,0.00
Stanley N'Soki\Stanley-NSoki,DF,Nice,fr Ligue 1,21,18,1246,0.00,0.00,0.00,0.03,0.01
Nacho\Nacho,DF,Real Madrid,es La Liga,30,24,2000,0.05,0.00,0.05,0.07,0.02
Nacho\Nacho,DF,Valladolid,es La Liga,31,23,1813,0.00,0.05,0.05,0.01,0.08
Yuto Nagatomo\Yuto-Nagatomo,DF,Marseille,fr Ligue 1,33,25,1594,0.00,0.06,0.06,0.01,0.02
Kenny Nagera\Kenny-Nagera,FW,Paris S-G,fr Ligue 1,18,1,2,0,0,0.00,0.0,0.0
Radja Nainggolan\Radja-Nainggolan,MF,Cagliari,it Serie A,32,22,1841,0.05,0.00,0.05,0.08,0.08
Radja Nainggolan\Radja-Nainggolan,MF,Inter,it Serie A,32,4,46,0.00,0.00,0.00,0.20,0.00
Marvelous Nakamba\Marvelous-Nakamba,MF,Aston Villa,eng Premier League,26,13,749,0.00,0.00,0.00,0.00,0.00
Nahitan Nández\Nahitan-Nandez,MFDF,Cagliari,it Serie A,24,32,2737,0.07,0.07,0.13,0.08,0.12
Nano\Nano,FW,Cádiz,es La Liga,25,1,9,0.00,0.00,0.00,0.00,0.00
Paul Nardi\Paul-Nardi,GK,Lorient,fr Ligue 1,26,23,2070,0.00,0.00,0.00,0.00,0.00
Matija Nastasić\Matija-Nastasic,DF,Schalke 04,de Bundesliga,27,15,1221,0.00,0.00,0.00,0.02,0.00
Roberto Navarro\Roberto-Navarro,MF,Real Sociedad,es La Liga,18,1,35,0.00,0.00,0.00,0.00,0.00
Ximo Navarro\Ximo-Navarro,DF,Alavés,es La Liga,30,31,2375,0.04,0.04,0.08,0.01,0.04
Jesús Navas\Jesus-Navas,DF,Sevilla,es La Liga,34,34,2827,0.00,0.19,0.19,0.03,0.17
Keylor Navas\Keylor-Navas,GK,Paris S-G,fr Ligue 1,33,29,2520,0.00,0.00,0.00,0.00,0.01
Raúl Navas\Raul-Navas,DF,Osasuna,es La Liga,32,2,168,0.00,0.00,0.00,0.00,0.00
Papa Ndiaga Yade\Papa-Ndiaga-Yade,FWMF,Metz,fr Ligue 1,20,28,1001,0.27,0.36,0.63,0.13,0.18
Iliman Ndiaye\Iliman-Ndiaye,MF,Sheffield Utd,eng Premier League,21,1,12,0.00,0.00,0.00,0.00,0.00
Wilfred Ndidi\Wilfred-Ndidi,MFDF,Leicester City,eng Premier League,23,26,2176,0.04,0.17,0.21,0.03,0.06
Bridge Ndilu\Bridge-Ndilu,MFFW,Nantes,fr Ligue 1,20,6,42,0.00,0.00,0.00,0.40,0.20
Tanguy Ndombele\Tanguy-Ndombele,MF,Tottenham,eng Premier League,23,33,2091,0.13,0.09,0.22,0.06,0.10
Dan Ndoye\Dan-Ndoye,FWMF,Nice,fr Ligue 1,19,28,551,0.16,0.16,0.33,0.20,0.02
Paul Nebel\Paul-Nebel,MFFW,Mainz 05,de Bundesliga,17,4,51,0.00,0.00,0.00,0.00,0.00
Álvaro Negredo\Alvaro-Negredo,FW,Cádiz,es La Liga,34,35,2198,0.33,0.16,0.49,0.26,0.15
Reiss Nelson\Reiss-Nelson,FW,Arsenal,eng Premier League,20,2,71,0.00,0.00,0.00,0.00,0.00
Ilija Nestorovski\Ilija-Nestorovski,FWMF,Udinese,it Serie A,30,22,701,0.26,0.26,0.51,0.50,0.18
Neto\Neto,GK,Barcelona,es La Liga,31,7,630,0.00,0.00,0.00,0.00,0.00
Pedro Neto\Pedro-Neto,FWMF,Wolves,eng Premier League,20,31,2550,0.18,0.21,0.39,0.17,0.22
Luca Netz\Luca-Netz,DFMF,Hertha BSC,de Bundesliga,17,11,309,0.29,0.00,0.29,0.24,0.03
Manuel Neuer\Manuel-Neuer,GK,Bayern Munich,de Bundesliga,34,33,2970,0.00,0.00,0.00,0.00,0.01
Florian Neuhaus\Florian-Neuhaus,MF,M'Gladbach,de Bundesliga,23,33,2622,0.21,0.17,0.38,0.11,0.08
Carlos Neva\Carlos-Neva,DF,Granada,es La Liga,24,22,1797,0.00,0.00,0.00,0.03,0.01
Rúben Neves\Ruben-Neves,MF,Wolves,eng Premier League,23,36,2675,0.17,0.03,0.20,0.17,0.07
Neymar\Neymar,MFFW,Paris S-G,fr Ligue 1,28,18,1415,0.57,0.32,0.89,0.78,0.46
Yvan Neyou\Yvan-Neyou,MF,Saint-Étienne,fr Ligue 1,23,31,2438,0.04,0.07,0.11,0.05,0.07
Jessic Ngankam\Jessic-Ngankam,FW,Hertha BSC,de Bundesliga,20,15,296,0.61,0.00,0.61,0.15,0.00
Muzinga Ngonda\Muzinga-Ngonda,DF,Dijon,fr Ligue 1,25,30,2307,0.08,0.00,0.08,0.01,0.04
Ahmad Ngouyamsa\Ahmad-Ngouyamsa,DF,Dijon,fr Ligue 1,19,3,157,0.00,0.00,0.00,0.00,0.00
Opa Nguette\Opa-Nguette,FWMF,Metz,fr Ligue 1,26,16,1132,0.24,0.08,0.32,0.27,0.08
Moussa Niakhate\Moussa-Niakhate,DF,Mainz 05,de Bundesliga,24,32,2866,0.09,0.03,0.13,0.08,0.06
Ibrahima Niane\Ibrahima-Niane,FW,Metz,fr Ligue 1,21,10,663,0.81,0.00,0.81,0.43,0.03
M'Baye Niang\MBaye-Niang,FW,Rennes,fr Ligue 1,25,9,422,0.21,0.00,0.21,0.19,0.00
Mamor Niang\Mamor-Niang,FWMF,Getafe,es La Liga,18,1,22,0.00,0.00,0.00,0.50,0.00
Florian Niederlechner\Florian-Niederlechner,FW,Augsburg,de Bundesliga,29,28,1737,0.26,0.21,0.47,0.35,0.16
Nieto\Nieto,FWMF,Cádiz,es La Liga,22,2,14,0.00,0.00,0.00,1.50,0.00
Saúl Ñíguez\Saul-Niguez,MFDF,Atlético Madrid,es La Liga,25,33,2033,0.09,0.04,0.13,0.12,0.09
Joakim Nilsson\Joakim-Nilsson,DF,Arminia,de Bundesliga,26,25,2162,0.00,0.00,0.00,0.02,0.00
Casimir Ninga\Casimir-Ninga,FW,Angers,fr Ligue 1,27,1,23,0.00,0.00,0.00,0.00,0.00
Nino\Nino,MFFW,Elche,es La Liga,40,16,284,0.00,0.00,0.00,0.09,0.25
Fernando Niño\Fernando-Nino,FW,Villarreal,es La Liga,19,17,593,0.45,0.00,0.46,0.65,0.03
Eddie Nketiah\Eddie-Nketiah,FW,Arsenal,eng Premier League,21,17,423,0.43,0.21,0.64,0.51,0.17
Nicolas Nkoulou\Nicolas-Nkoulou,DF,Torino,it Serie A,30,18,1358,0.07,0.00,0.07,0.03,0.01
Niels Nkounkou\Niels-Nkounkou,DFFW,Everton,eng Premier League,19,2,81,0.00,0.00,0.00,0.00,0.00
Christopher Nkunku\Christopher-Nkunku,FWMF,RB Leipzig,de Bundesliga,22,28,1892,0.29,0.29,0.57,0.37,0.36
Dan Nlundulu\Dan-Nlundulu,FW,Southampton,eng Premier League,21,13,111,0.00,0.00,0.00,0.08,0.00
Mark Noble\Mark-Noble,MF,West Ham,eng Premier League,33,21,712,0.00,0.00,0.00,0.00,0.03
Nolito\Nolito,MFFW,Celta Vigo,es La Liga,33,36,2597,0.24,0.17,0.42,0.22,0.20
Arnaud Nordin\Arnaud-Nordin,MFFW,Saint-Étienne,fr Ligue 1,22,32,1771,0.20,0.20,0.41,0.24,0.15
Håvard Nordtveit\Havard-Nordtveit,DF,Hoffenheim,de Bundesliga,30,12,700,0.00,0.00,0.00,0.03,0.04
Will Norris\Will-Norris,GK,Burnley,eng Premier League,26,2,180,0.00,0.00,0.00,0.00,0.05
Oliver Norwood\Oliver-Norwood,MF,Sheffield Utd,eng Premier League,29,32,2220,0.00,0.00,0.00,0.02,0.07
Olivier Ntcham\Olivier-Ntcham,MF,Marseille,fr Ligue 1,24,4,120,0.00,0.00,0.00,0.08,0.00
Alexander Nübel\Alexander-Nubel,GK,Bayern Munich,de Bundesliga,23,1,90,0.00,0.00,0.00,0.00,0.00
Kasim Nuhu\Kasim-Nuhu,DF,Hoffenheim,de Bundesliga,25,12,987,0.00,0.00,0.00,0.05,0.00
Unai Núñez\Unai-Nunez,DF,Athletic Club,es La Liga,23,25,2109,0.04,0.04,0.09,0.08,0.03
Bram Nuytinck\Bram-Nuytinck,DF,Udinese,it Serie A,30,20,1641,0.05,0.00,0.05,0.02,0.01
Kelechi Nwakali\Kelechi-Nwakali,MFFW,Huesca,es La Liga,22,5,141,0.00,0.00,0.00,0.00,0.00
Simeon Nwankwo\Simeon-Nwankwo,FW,Crotone,it Serie A,28,38,2943,0.61,0.06,0.67,0.50,0.06
Gerzino Nyamsi\Gerzino-Nyamsi,DF,Rennes,fr Ligue 1,23,14,871,0.10,0.00,0.10,0.04,0.01
Allan Nyom\Allan-Nyom,MFDF,Getafe,es La Liga,32,31,2323,0.00,0.08,0.08,0.02,0.08
M'Bala Nzola\MBala-Nzola,FW,Spezia,it Serie A,23,25,1896,0.52,0.14,0.66,0.43,0.12
Steven Nzonzi\Steven-Nzonzi,MF,Rennes,fr Ligue 1,31,34,2908,0.03,0.03,0.06,0.06,0.03
Jack O'Connell\Jack-OConnell,DF,Sheffield Utd,eng Premier League,26,2,180,0.00,0.00,0.00,0.00,0.00
Dara O'Shea\Dara-OShea,DF,West Brom,eng Premier League,21,28,2102,0.00,0.00,0.00,0.01,0.00
Michael Obafemi\Michael-Obafemi,FW,Southampton,eng Premier League,20,4,61,0.00,0.00,0.00,0.00,0.14
Pedro Obiang\Pedro-Obiang,MF,Sassuolo,it Serie A,28,33,1469,0.00,0.06,0.06,0.04,0.05
Jan Oblak\Jan-Oblak,GK,Atlético Madrid,es La Liga,27,38,3420,0.00,0.00,0.00,0.00,0.00
Lucas Ocampos\Lucas-Ocampos,FW,Sevilla,es La Liga,26,34,2631,0.17,0.14,0.31,0.36,0.12
Bastian Oczipka\Bastian-Oczipka,DF,Schalke 04,de Bundesliga,31,27,1922,0.00,0.09,0.09,0.01,0.07
Brain Oddei\Brain-Oddei,FWMF,Sassuolo,it Serie A,17,5,45,0.00,4.00,4.00,0.20,1.20
Denis Odoi\Denis-Odoi,DF,Fulham,eng Premier League,32,3,270,0.00,0.00,0.00,0.03,0.03
Álvaro Odriozola\Alvaro-Odriozola,DF,Real Madrid,es La Liga,24,13,829,0.22,0.00,0.22,0.08,0.07
Angelo Ogbonna\Angelo-Ogbonna,DF,West Ham,eng Premier League,32,28,2492,0.11,0.00,0.11,0.05,0.04
Stefano Okaka\Stefano-Okaka,FW,Udinese,it Serie A,30,22,1489,0.24,0.06,0.30,0.18,0.04
Shinji Okazaki\Shinji-Okazaki,FWMF,Huesca,es La Liga,34,25,1128,0.08,0.08,0.16,0.16,0.02
Masaya Okugawa\Masaya-Okugawa,MFFW,Arminia,de Bundesliga,24,13,914,0.10,0.00,0.10,0.09,0.08
Lucas Olaza\Lucas-Olaza,DF,Valladolid,es La Liga,26,14,1260,0.07,0.07,0.14,0.04,0.07
Lucas Olaza\Lucas-Olaza,DF,Celta Vigo,es La Liga,26,18,1615,0.00,0.11,0.11,0.02,0.12
Christian Oliva\Christian-Oliva,MF,Cagliari,it Serie A,24,10,388,0.00,0.23,0.23,0.00,0.02
Christian Oliva\Christian-Oliva,MF,Valencia,es La Liga,24,9,198,0.00,0.91,0.91,0.00,0.09
Kiko Olivas\Kiko-Olivas,DFMF,Valladolid,es La Liga,31,5,177,0.00,0.00,0.00,0.00,0.00
Paulo Oliveira\Paulo-Oliveira,DF,Eibar,es La Liga,28,31,2641,0.00,0.03,0.03,0.02,0.01
Mathías Olivera\Mathias-Olivera,DF,Getafe,es La Liga,22,31,2614,0.00,0.00,0.00,0.08,0.06
Maximiliano Olivera\Maximiliano-Olivera,DF,Fiorentina,it Serie A,28,2,91,0.00,0.00,0.00,0.00,0.00
Dani Olmo\Dani-Olmo,MFFW,RB Leipzig,de Bundesliga,22,32,2194,0.20,0.37,0.57,0.31,0.20
Robin Olsen\Robin-Olsen,GK,Everton,eng Premier League,30,7,630,0.00,0.00,0.00,0.00,0.00
Jonas Omlin\Jonas-Omlin,GK,Montpellier,fr Ligue 1,26,31,2673,0.00,0.00,0.00,0.00,0.00
Jerome Onguene\Jerome-Onguene,DF,Genoa,it Serie A,22,4,181,0.00,0.00,0.00,0.00,0.00
Karim Onisiwo\Karim-Onisiwo,FW,Mainz 05,de Bundesliga,28,31,1843,0.20,0.00,0.20,0.26,0.12
Josh Onomah\Josh-Onomah,MF,Fulham,eng Premier League,23,11,374,0.00,0.00,0.00,0.14,0.02
Javier Ontiveros\Javier-Ontiveros,FWMF,Huesca,es La Liga,22,20,918,0.20,0.10,0.29,0.19,0.16
Henry Onyekuru\Henry-Onyekuru,FW,Monaco,fr Ligue 1,23,4,140,0.00,0.63,0.64,0.19,0.31
Willi Orban\Willi-Orban,DF,RB Leipzig,de Bundesliga,27,29,2363,0.15,0.04,0.19,0.13,0.03
Fabián Orellana\Fabian-Orellana,MFFW,Valladolid,es La Liga,34,30,2138,0.25,0.08,0.34,0.25,0.17
Divock Origi\Divock-Origi,FW,Liverpool,eng Premier League,25,9,186,0.00,0.00,0.00,0.48,0.10
Riccardo Orsolini\Riccardo-Orsolini,FWMF,Bologna,it Serie A,23,34,1755,0.36,0.15,0.51,0.44,0.12
Stefan Ortega\Stefan-Ortega,GK,Arminia,de Bundesliga,27,34,3060,0.00,0.03,0.03,0.00,0.02
Yuya Osako\Yuya-Osako,MFFW,Werder Bremen,de Bundesliga,30,24,762,0.00,0.12,0.12,0.06,0.18
Ben Osborn\Ben-Osborn,MFDF,Sheffield Utd,eng Premier League,25,24,1604,0.06,0.00,0.06,0.07,0.12
Victor Osimhen\Victor-Osimhen,FW,Napoli,it Serie A,21,24,1573,0.57,0.17,0.74,0.59,0.15
Yordan Osorio\Yordan-Osorio,DF,Parma,it Serie A,26,23,1809,0.00,0.00,0.00,0.02,0.00
David Ospina\David-Ospina,GK,Napoli,it Serie A,31,16,1440,0.00,0.06,0.06,0.00,0.01
Owen Otasowie\Owen-Otasowie,MFFW,Wolves,eng Premier League,19,6,187,0.00,0.48,0.48,0.29,0.05
Otávio\Otavio,MF,Bordeaux,fr Ligue 1,26,18,1559,0.06,0.00,0.06,0.02,0.01
Paulo Otávio\Paulo-Otavio,DF,Wolfsburg,de Bundesliga,25,23,1737,0.00,0.10,0.10,0.04,0.10
Remi Oudin\Remi-Oudin,FWMF,Bordeaux,fr Ligue 1,23,38,2420,0.15,0.15,0.30,0.16,0.18
Alexandre Oukidja\Alexandre-Oukidja,GK,Metz,fr Ligue 1,32,34,3058,0.00,0.00,0.00,0.00,0.01
Zinédine Ould Khaled\Zinedine-Ould-Khaled,MF,Angers,fr Ligue 1,20,3,38,0.00,0.00,0.00,0.00,0.00
Adam Ounas\Adam-Ounas,FWMF,Crotone,it Serie A,23,15,1199,0.30,0.30,0.60,0.15,0.27
Adam Ounas\Adam-Ounas,MFFW,Cagliari,it Serie A,23,7,308,0.00,0.00,0.00,0.35,0.26
Thomas Ouwejan\Thomas-Ouwejan,DF,Udinese,it Serie A,23,15,413,0.00,0.43,0.44,0.04,0.20
Reece Oxford\Reece-Oxford,DF,Augsburg,de Bundesliga,21,24,1358,0.00,0.00,0.00,0.05,0.01
Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,FWMF,Liverpool,eng Premier League,26,13,253,0.36,0.36,0.71,0.14,0.07
Mikel Oyarzabal\Mikel-Oyarzabal,FWMF,Real Sociedad,es La Liga,23,33,2408,0.41,0.30,0.71,0.40,0.22
Ambroise Oyongo\Ambroise-Oyongo,DF,Montpellier,fr Ligue 1,29,13,558,0.16,0.16,0.32,0.02,0.03
Salih Özcan\Salih-Ozcan,MFFW,Köln,de Bundesliga,22,28,1371,0.00,0.07,0.07,0.04,0.05
Levin Öztunalı\Levin-Oztunali,DFFW,Mainz 05,de Bundesliga,24,17,758,0.12,0.24,0.36,0.07,0.11
Pablo\Pablo,DF,Bordeaux,fr Ligue 1,29,13,1076,0.08,0.00,0.08,0.07,0.00
