,,,,,,SCA,SCA,SCA
Player,Pos,Squad,Comp,Age,90s,SCA,Drib,Def
,,,,,,,,
Nathan de Medina\Nathan-de-Medina,DF,Arminia,de Bundesliga,22,7.1,0.70,0.00,0.00
Ben Mee\Ben-Mee,DF,Burnley,eng Premier League,30,29.9,0.37,0.00,0.00
Joshua Mees\Joshua-Mees,FW,Union Berlin,de Bundesliga,24,0.1,0.00,0.00,0.00
Admir Mehmedi\Admir-Mehmedi,MFFW,Wolfsburg,de Bundesliga,29,9.1,4.51,0.11,0.11
Soualiho Meïté\Soualiho-Meite,MF,Torino,it Serie A,26,10.2,1.76,0.20,0.00
Soualiho Meïté\Soualiho-Meite,MF,Milan,it Serie A,26,6.5,2.62,0.31,0.15
Hannibal Mejbri\Hannibal-Mejbri,MF,Manchester Utd,eng Premier League,17,0.1,0.00,0.00,0.00
Farid El Melali\Farid-El-Melali,FWMF,Angers,fr Ligue 1,23,4.6,2.61,0.43,0.22
Filippo Melegoni\Filippo-Melegoni,MFDF,Genoa,it Serie A,21,4.3,2.09,0.23,0.23
Gonzalo Melero\Gonzalo-Melero,MFFW,Levante,es La Liga,26,20.6,2.04,0.00,0.05
Birger Meling\Birger-Meling,DF,Nîmes,fr Ligue 1,25,25.9,1.39,0.12,0.04
Arthur Melo\Arthur-Melo,MF,Juventus,it Serie A,23,12.9,2.02,0.00,0.08
Houboulang Mendes\Houboulang-Mendes,DF,Lorient,fr Ligue 1,22,14.4,0.69,0.00,0.00
Pedro Mendes\Pedro-Mendes,DF,Montpellier,fr Ligue 1,29,18.1,0.33,0.00,0.06
Thiago Mendes\Thiago-Mendes,MF,Lyon,fr Ligue 1,28,24.9,2.13,0.04,0.04
Brais Méndez\Brais-Mendez,MFFW,Celta Vigo,es La Liga,23,29.7,1.92,0.07,0.07
Édgar Méndez\Edgar-Mendez,MFFW,Alavés,es La Liga,30,23.2,1.55,0.13,0.09
Eñaut Mendía\Enaut-Mendia,FW,Eibar,es La Liga,21,0.7,0.00,0.00,0.00
Batista Mendy\Batista-Mendy,MF,Nantes,fr Ligue 1,20,0.8,0.00,0.00,0.00
Benjamin Mendy\Benjamin-Mendy,DF,Manchester City,eng Premier League,26,10.6,1.60,0.38,0.00
Edouard Mendy\Edouard-Mendy,GK,Rennes,fr Ligue 1,28,1.0,1.00,0.00,0.00
Edouard Mendy\Edouard-Mendy,GK,Chelsea,eng Premier League,28,30.5,0.10,0.00,0.00
Ferland Mendy\Ferland-Mendy,DF,Real Madrid,es La Liga,25,24.5,1.88,0.04,0.00
Nampalys Mendy\Nampalys-Mendy,MF,Leicester City,eng Premier League,28,16.2,0.93,0.00,0.12
Hamza Mendyl\Hamza-Mendyl,FWDF,Schalke 04,de Bundesliga,22,1.1,0.00,0.00,0.00
Levent Mercan\Levent-Mercan,FW,Schalke 04,de Bundesliga,19,0.1,0.00,0.00,0.00
Jorge Meré\Jorge-Mere,DF,Köln,de Bundesliga,23,14.4,0.35,0.00,0.00
Alex Meret\Alex-Meret,GK,Napoli,it Serie A,23,22.0,0.09,0.00,0.00
Mikel Merino\Mikel-Merino,MF,Real Sociedad,es La Liga,24,23.9,2.18,0.04,0.17
Martín Merquelanz\Martin-Merquelanz,FWMF,Real Sociedad,es La Liga,25,6.1,3.28,0.00,0.16
Yıldırım Mert Çetin\Yildirim-Mert-Cetin,DF,Hellas Verona,it Serie A,23,4.6,0.22,0.22,0.00
Dries Mertens\Dries-Mertens,FWMF,Napoli,it Serie A,33,16.2,3.95,0.12,0.19
Roque Mesa\Roque-Mesa,MF,Valladolid,es La Liga,31,19.6,2.14,0.20,0.00
Illan Meslier\Illan-Meslier,GK,Leeds United,eng Premier League,20,35.0,0.09,0.00,0.00
Lionel Messi\Lionel-Messi,FWMF,Barcelona,es La Liga,33,33.6,7.17,1.16,0.06
Junior Messias\Junior-Messias,MFFW,Crotone,it Serie A,29,35.7,3.05,0.56,0.14
Thomas Meunier\Thomas-Meunier,DF,Dortmund,de Bundesliga,28,16.4,1.46,0.06,0.06
Mexer\Mexer,DF,Bordeaux,fr Ligue 1,31,7.9,0.38,0.00,0.00
Max Meyer\Max-Meyer,MF,Köln,de Bundesliga,24,3.9,1.54,0.00,0.00
Omenuke Mfulu\Omenuke-Mfulu,MF,Elche,es La Liga,26,8.8,0.23,0.00,0.00
Míchel\Michel,MF,Valladolid,es La Liga,32,10.5,2.95,0.00,0.19
Jonas Michel Dirkner\Jonas-Michel-Dirkner,MF,Hertha BSC,de Bundesliga,18,0.2,0.00,0.00,0.00
Jonas Michelbrink\Jonas-Michelbrink,MF,Hertha BSC,de Bundesliga,19,0.4,0.00,0.00,0.00
Clément Michelin\Clement-Michelin,DF,Lens,fr Ligue 1,23,12.8,2.19,0.00,0.08
Edouard Michut\Edouard-Michut,MF,Paris S-G,fr Ligue 1,17,0.0,0,0,0
Petar Mićin\Petar-Micin,MF,Udinese,it Serie A,21,0.2,0.00,0.00,0.00
Florian Miguel\Florian-Miguel,DF,Nîmes,fr Ligue 1,23,17.1,0.18,0.00,0.00
Valentin Mihaila\Valentin-Mihaila,FWMF,Parma,it Serie A,20,7.8,2.82,0.64,0.00
Nikola Milenković\Nikola-Milenkovic,DF,Fiorentina,it Serie A,22,33.7,0.53,0.03,0.00
Arkadiusz Milik\Arkadiusz-Milik,FW,Marseille,fr Ligue 1,26,13.6,1.62,0.22,0.07
Sergej Milinković-Savić\Sergej-Milinkovic-Savic,MF,Lazio,it Serie A,25,30.5,2.66,0.03,0.13
Vanja Milinković-Savić\Vanja-Milinkovic-Savic,GK,Torino,it Serie A,23,5.0,0.20,0.00,0.00
Éder Militão\Eder-Militao,DF,Real Madrid,es La Liga,22,12.6,0.56,0.00,0.00
Luka Milivojević\Luka-Milivojevic,MF,Crystal Palace,eng Premier League,29,26.2,1.49,0.04,0.04
Luis Milla\Luis-Milla,MF,Granada,es La Liga,25,13.9,2.23,0.07,0.07
Pere Milla\Pere-Milla,FWMF,Elche,es La Liga,27,22.0,1.77,0.09,0.09
Alejandro Millán\Alejandro-Millan,FW,Villarreal,es La Liga,20,0.0,0,0,0
Vincenzo Millico\Vincenzo-Millico,FWMF,Torino,it Serie A,19,0.2,5.00,0.00,0.00
Enzo Millot\Enzo-Millot,MF,Monaco,fr Ligue 1,18,0.5,2.00,0.00,0.00
James Milner\James-Milner,MFDF,Liverpool,eng Premier League,34,11.9,1.85,0.08,0.08
Santi Mina\Santi-Mina,FW,Celta Vigo,es La Liga,24,26.8,1.42,0.11,0.04
Yerry Mina\Yerry-Mina,DF,Everton,eng Premier League,25,21.5,0.19,0.00,0.00
Takumi Minamino\Takumi-Minamino,MFFW,Southampton,eng Premier League,25,7.9,1.39,0.00,0.00
Takumi Minamino\Takumi-Minamino,MFFW,Liverpool,eng Premier League,25,3.3,1.82,0.30,0.00
Tyrone Mings\Tyrone-Mings,DF,Aston Villa,eng Premier League,27,35.5,0.39,0.03,0.00
Óscar Mingueza\Oscar-Mingueza,DF,Barcelona,es La Liga,21,21.1,0.95,0.00,0.05
Rafa Mir\Rafa-Mir,FW,Huesca,es La Liga,23,32.0,0.88,0.06,0.09
Jorge Miramón\Jorge-Miramon,DF,Levante,es La Liga,31,19.2,1.98,0.05,0.00
Aleksei Miranchuk\Aleksei-Miranchuk,FWMF,Atalanta,it Serie A,24,7.5,4.13,0.27,0.00
Juan Miranda\Juan-Miranda,DF,Betis,es La Liga,20,18.4,1.14,0.00,0.00
Antonio Mirante\Antonio-Mirante,GK,Roma,it Serie A,37,12.8,0.23,0.00,0.00
Tyrick Mitchell\Tyrick-Mitchell,DF,Crystal Palace,eng Premier League,20,19.0,0.47,0.00,0.00
Aleksandar Mitrović\Aleksandar-Mitrovic,FW,Fulham,eng Premier League,25,15.6,3.01,0.32,0.13
Stefan Mitrović\Stefan-Mitrovic,DF,Strasbourg,fr Ligue 1,30,30.9,0.36,0.03,0.00
Maximilian Mittelstädt\Maximilian-Mittelstadt,DF,Hertha BSC,de Bundesliga,23,20.0,1.85,0.10,0.10
Henrikh Mkhitaryan\Henrikh-Mkhitaryan,FWMF,Roma,it Serie A,31,30.5,3.57,0.16,0.13
Jakub Moder\Jakub-Moder,DFMF,Brighton,eng Premier League,21,7.2,1.53,0.14,0.14
Anthony Modeste\Anthony-Modeste,FWMF,Köln,de Bundesliga,32,2.5,1.60,0.00,0.00
Anthony Modeste\Anthony-Modeste,FW,Saint-Étienne,fr Ligue 1,32,3.3,0.61,0.00,0.00
Luka Modrić\Luka-Modric,MF,Real Madrid,es La Liga,34,30.4,3.13,0.20,0.07
Terem Moffi\Terem-Moffi,FW,Lorient,fr Ligue 1,21,23.0,2.65,0.30,0.17
Kevin Möhwald\Kevin-Mohwald,MF,Werder Bremen,de Bundesliga,27,17.3,1.68,0.00,0.00
Niklas Moisander\Niklas-Moisander,DF,Werder Bremen,de Bundesliga,34,13.6,0.22,0.00,0.00
Dion Moise Sahi\Dion-Moise-Sahi,FWMF,Strasbourg,fr Ligue 1,18,1.0,6.00,1.00,0.00
Johan Mojica\Johan-Mojica,DF,Elche,es La Liga,27,13.4,1.04,0.07,0.00
Johan Mojica\Johan-Mojica,DFFW,Atalanta,it Serie A,27,3.3,1.21,0.00,0.00
Guillem Molina\Guillem-Molina,DF,Valencia,es La Liga,20,1.7,0.00,0.00,0.00
Jorge Molina\Jorge-Molina,FWMF,Granada,es La Liga,38,17.9,2.23,0.06,0.00
Nahuel Molina\Nahuel-Molina,DF,Udinese,it Serie A,22,20.3,2.07,0.15,0.00
Salvatore Molina\Salvatore-Molina,MFDF,Crotone,it Serie A,28,25.7,1.71,0.08,0.04
Victor Mollejo\Victor-Mollejo,MFDF,Getafe,es La Liga,19,0.8,6.25,0.00,0.00
Florent Mollet\Florent-Mollet,MF,Montpellier,fr Ligue 1,28,26.2,2.52,0.00,0.08
Jayson Molumby\Jayson-Molumby,MF,Brighton,eng Premier League,20,0.0,0,0,0
Alkhaly Momo Cissé\Alkhaly-Momo-Cisse,DFFW,Stuttgart,de Bundesliga,17,0.4,2.50,0.00,0.00
Jon Moncayola\Jon-Moncayola,MF,Osasuna,es La Liga,22,29.6,1.08,0.00,0.00
Gabriele Moncini\Gabriele-Moncini,FW,Benevento,it Serie A,24,4.0,1.50,0.25,0.00
Thomas Monconduit\Thomas-Monconduit,MF,Lorient,fr Ligue 1,29,12.8,2.03,0.23,0.08
Kévin Monnet-Paquet\Kevin-Monnet-Paquet,MFFW,Saint-Étienne,fr Ligue 1,31,6.3,1.27,0.00,0.00
Nacho Monreal\Nacho-Monreal,DF,Real Sociedad,es La Liga,34,23.1,0.87,0.00,0.00
Cristóbal Montiel\Cristobal-Montiel,DFFW,Fiorentina,it Serie A,20,0.0,0,0,0
Lorenzo Montipò\Lorenzo-Montipo,GK,Benevento,it Serie A,24,37.0,0.03,0.00,0.00
Ángel Montoro\Angel-Montoro,MF,Granada,es La Liga,32,15.1,2.65,0.00,0.07
Martín Montoya\Martin-Montoya,DF,Betis,es La Liga,29,2.7,1.85,0.00,0.00
Emre Mor\Emre-Mor,FWMF,Celta Vigo,es La Liga,23,5.6,0.89,0.36,0.00
Luca Mora\Luca-Mora,MFFW,Spezia,it Serie A,32,1.3,0.77,0.00,0.00
Wesley Moraes\Wesley-Moraes,MFFW,Aston Villa,eng Premier League,23,0.2,5.00,0.00,0.00
Álvaro Morata\Alvaro-Morata,FW,Juventus,it Serie A,27,22.4,3.30,0.18,0.09
Jan Morávek\Jan-Moravek,MF,Augsburg,de Bundesliga,30,3.0,1.67,0.00,0.00
Jon Morcillo\Jon-Morcillo,MFFW,Athletic Club,es La Liga,21,15.1,2.78,0.07,0.07
Jérémy Morel\Jeremy-Morel,DF,Lorient,fr Ligue 1,36,27.7,0.58,0.00,0.00
Alberto Moreno\Alberto-Moreno,DF,Villarreal,es La Liga,28,2.1,2.38,0.95,0.00
Álex Moreno\Alex-Moreno,DF,Betis,es La Liga,27,19.8,1.57,0.25,0.05
Gerard Moreno\Gerard-Moreno,FWMF,Villarreal,es La Liga,28,29.7,2.73,0.30,0.03
Tete Morente\Tete-Morente,MFFW,Elche,es La Liga,23,22.4,1.52,0.22,0.00
Mateu Morey\Mateu-Morey,DF,Dortmund,de Bundesliga,20,9.2,2.07,0.00,0.00
Wes Morgan\Wes-Morgan,DF,Leicester City,eng Premier League,36,0.2,0.00,0.00,0.00
Raúl Moro\Raul-Moro,MF,Lazio,it Serie A,17,0.1,0.00,0.00,0.00
Loren Morón\Loren-Moron,FWMF,Betis,es La Liga,26,11.0,1.73,0.36,0.09
Pedro Mosquera\Pedro-Mosquera,MF,Huesca,es La Liga,32,22.8,1.01,0.00,0.00
Aimen Moueffek\Aimen-Moueffek,DFMF,Saint-Étienne,fr Ligue 1,19,8.3,1.81,0.12,0.12
Youssoufa Moukoko\Youssoufa-Moukoko,FWMF,Dortmund,de Bundesliga,15,4.7,3.62,0.43,0.43
Harold Moukoudi\Harold-Moukoudi,DF,Saint-Étienne,fr Ligue 1,22,25.3,0.51,0.00,0.00
Jessy Moulin\Jessy-Moulin,GK,Saint-Étienne,fr Ligue 1,34,29.0,0.03,0.00,0.00
Steve Mounié\Steve-Mounie,FW,Brest,fr Ligue 1,25,29.8,1.71,0.10,0.07
Mason Mount\Mason-Mount,MFFW,Chelsea,eng Premier League,21,32.1,5.08,0.31,0.06
Lucas Moura\Lucas-Moura,FWMF,Tottenham,eng Premier League,27,15.7,2.29,0.06,0.13
Lys Mousset\Lys-Mousset,FWMF,Sheffield Utd,eng Premier League,24,3.3,1.21,0.30,0.00
João Moutinho\Joao-Moutinho,MF,Wolves,eng Premier League,33,28.1,3.24,0.00,0.11
Samuel Moutoussamy\Samuel-Moutoussamy,FW,Nantes,fr Ligue 1,23,0.9,0.00,0.00,0.00
Loris Mouyokolo\Loris-Mouyokolo,DF,Lorient,fr Ligue 1,19,0.2,0.00,0.00,0.00
Javi Moyano\Javi-Moyano,DF,Valladolid,es La Liga,34,1.1,0.00,0.00,0.00
Nordi Mukiele\Nordi-Mukiele,DF,RB Leipzig,de Bundesliga,22,18.6,1.40,0.00,0.00
Mert Müldür\Mert-Muldur,DF,Sassuolo,it Serie A,21,18.6,1.18,0.00,0.00
Florian Müller\Florian-Muller,GK,Freiburg,de Bundesliga,22,31.0,0.23,0.00,0.00
Sebastian Müller\Sebastian-Muller,MFDF,Arminia,de Bundesliga,19,0.0,0,0,0
Thomas Müller\Thomas-Muller,MF,Bayern Munich,de Bundesliga,30,29.7,4.81,0.17,0.07
Joel Mumbongo\Joel-Mumbongo,FW,Burnley,eng Premier League,21,0.4,0.00,0.00,0.00
Marshall Munetsi\Marshall-Munetsi,MFDF,Reims,fr Ligue 1,24,21.4,0.93,0.00,0.00
Iker Muniain\Iker-Muniain,MFFW,Athletic Club,es La Liga,27,21.6,3.52,0.23,0.00
Aihen Muñoz\Aihen-Munoz,DF,Real Sociedad,es La Liga,22,13.4,1.19,0.00,0.00
Joaquín Muñoz\Joaquin-Munoz,FW,Huesca,es La Liga,21,0.5,4.00,0.00,0.00
Luis Muriel\Luis-Muriel,FW,Atalanta,it Serie A,29,16.0,6.19,0.94,0.06
Jeison Murillo\Jeison-Murillo,DF,Celta Vigo,es La Liga,28,30.0,0.30,0.00,0.00
Vedat Muriqi\Vedat-Muriqi,FW,Lazio,it Serie A,26,9.2,2.39,0.11,0.00
Jacob Murphy\Jacob-Murphy,DFMF,Newcastle Utd,eng Premier League,25,18.1,2.04,0.22,0.11
Nicola Murru\Nicola-Murru,DF,Torino,it Serie A,25,6.3,1.43,0.32,0.00
Petar Musa\Petar-Musa,FW,Union Berlin,de Bundesliga,22,7.9,2.03,0.00,0.00
Mateo Musacchio\Mateo-Musacchio,DF,Lazio,it Serie A,29,2.5,0.00,0.00,0.00
Mateo Musacchio\Mateo-Musacchio,DF,Milan,it Serie A,29,0.4,0.00,0.00,0.00
Yunus Musah\Yunus-Musah,MF,Valencia,es La Liga,17,17.0,1.47,0.29,0.06
Jamal Musiala\Jamal-Musiala,FWMF,Bayern Munich,de Bundesliga,17,9.8,3.47,0.61,0.20
Juan Musso\Juan-Musso,GK,Udinese,it Serie A,26,35.0,0.03,0.00,0.00
Shkodran Mustafi\Shkodran-Mustafi,DF,Arsenal,eng Premier League,28,0.5,0.00,0.00,0.00
Shkodran Mustafi\Shkodran-Mustafi,DF,Schalke 04,de Bundesliga,28,11.5,0.35,0.00,0.00
Yoshinori Mutō\Yoshinori-Muto,FWMF,Eibar,es La Liga,28,12.5,2.24,0.24,0.24
Phillipp Mwene\Phillipp-Mwene,DF,Mainz 05,de Bundesliga,26,18.6,1.99,0.05,0.05
Joakim Mæhle\Joakim-Maehle,DF,Atalanta,it Serie A,23,13.5,2.52,0.15,0.00
Obite N'Dicka\Obite-NDicka,DF,Eint Frankfurt,de Bundesliga,20,22.7,0.84,0.00,0.04
Kévin N'Doram\Kevin-NDoram,MF,Metz,fr Ligue 1,24,3.4,0.88,0.00,0.00
Stanley N'Soki\Stanley-NSoki,DF,Nice,fr Ligue 1,21,13.8,0.36,0.00,0.07
Nacho\Nacho,DF,Real Madrid,es La Liga,30,22.2,0.63,0.00,0.00
Nacho\Nacho,DF,Valladolid,es La Liga,31,20.1,2.19,0.00,0.00
Yuto Nagatomo\Yuto-Nagatomo,DF,Marseille,fr Ligue 1,33,17.7,0.68,0.00,0.00
Kenny Nagera\Kenny-Nagera,FW,Paris S-G,fr Ligue 1,18,0.0,1,0,0
Radja Nainggolan\Radja-Nainggolan,MF,Cagliari,it Serie A,32,20.5,2.59,0.20,0.05
Radja Nainggolan\Radja-Nainggolan,MF,Inter,it Serie A,32,0.5,8.00,0.00,0.00
Marvelous Nakamba\Marvelous-Nakamba,MF,Aston Villa,eng Premier League,26,8.3,0.48,0.00,0.00
Nahitan Nández\Nahitan-Nandez,MFDF,Cagliari,it Serie A,24,30.4,2.40,0.23,0.03
Nano\Nano,FW,Cádiz,es La Liga,25,0.1,0.00,0.00,0.00
Paul Nardi\Paul-Nardi,GK,Lorient,fr Ligue 1,26,23.0,0.13,0.00,0.00
Matija Nastasić\Matija-Nastasic,DF,Schalke 04,de Bundesliga,27,13.6,0.22,0.00,0.00
Roberto Navarro\Roberto-Navarro,MF,Real Sociedad,es La Liga,18,0.4,2.50,0.00,0.00
Ximo Navarro\Ximo-Navarro,DF,Alavés,es La Liga,30,26.4,0.83,0.04,0.00
Jesús Navas\Jesus-Navas,DF,Sevilla,es La Liga,34,31.4,3.12,0.10,0.00
Keylor Navas\Keylor-Navas,GK,Paris S-G,fr Ligue 1,33,28.0,0.11,0.00,0.00
Raúl Navas\Raul-Navas,DF,Osasuna,es La Liga,32,1.9,1.05,0.00,0.53
Papa Ndiaga Yade\Papa-Ndiaga-Yade,FWMF,Metz,fr Ligue 1,20,11.1,3.60,0.45,0.09
Iliman Ndiaye\Iliman-Ndiaye,MF,Sheffield Utd,eng Premier League,21,0.1,0.00,0.00,0.00
Wilfred Ndidi\Wilfred-Ndidi,MFDF,Leicester City,eng Premier League,23,24.2,1.36,0.00,0.21
Bridge Ndilu\Bridge-Ndilu,MFFW,Nantes,fr Ligue 1,20,0.5,4.00,0.00,0.00
Tanguy Ndombele\Tanguy-Ndombele,MF,Tottenham,eng Premier League,23,23.2,2.46,0.17,0.09
Dan Ndoye\Dan-Ndoye,FWMF,Nice,fr Ligue 1,19,6.1,1.97,0.33,0.00
Paul Nebel\Paul-Nebel,MFFW,Mainz 05,de Bundesliga,17,0.6,0.00,0.00,0.00
Álvaro Negredo\Alvaro-Negredo,FW,Cádiz,es La Liga,34,24.4,1.43,0.16,0.04
Reiss Nelson\Reiss-Nelson,FW,Arsenal,eng Premier League,20,0.8,1.25,0.00,0.00
Ilija Nestorovski\Ilija-Nestorovski,FWMF,Udinese,it Serie A,30,7.8,2.56,0.13,0.00
Neto\Neto,GK,Barcelona,es La Liga,31,7.0,0.14,0.00,0.00
Pedro Neto\Pedro-Neto,FWMF,Wolves,eng Premier League,20,28.3,3.92,0.46,0.04
Luca Netz\Luca-Netz,DFMF,Hertha BSC,de Bundesliga,17,3.4,1.76,0.00,0.29
Manuel Neuer\Manuel-Neuer,GK,Bayern Munich,de Bundesliga,34,33.0,0.12,0.00,0.00
Florian Neuhaus\Florian-Neuhaus,MF,M'Gladbach,de Bundesliga,23,29.1,2.16,0.17,0.03
Carlos Neva\Carlos-Neva,DF,Granada,es La Liga,24,20.0,0.75,0.00,0.05
Rúben Neves\Ruben-Neves,MF,Wolves,eng Premier League,23,29.7,2.09,0.10,0.10
Neymar\Neymar,MFFW,Paris S-G,fr Ligue 1,28,15.7,8.28,0.96,0.00
Yvan Neyou\Yvan-Neyou,MF,Saint-Étienne,fr Ligue 1,23,27.1,1.51,0.15,0.04
Jessic Ngankam\Jessic-Ngankam,FW,Hertha BSC,de Bundesliga,20,3.3,0.91,0.30,0.00
Muzinga Ngonda\Muzinga-Ngonda,DF,Dijon,fr Ligue 1,25,25.6,1.25,0.08,0.00
Ahmad Ngouyamsa\Ahmad-Ngouyamsa,DF,Dijon,fr Ligue 1,19,1.7,0.00,0.00,0.00
Opa Nguette\Opa-Nguette,FWMF,Metz,fr Ligue 1,26,12.6,1.90,0.32,0.00
Moussa Niakhate\Moussa-Niakhate,DF,Mainz 05,de Bundesliga,24,31.8,1.19,0.09,0.06
Ibrahima Niane\Ibrahima-Niane,FW,Metz,fr Ligue 1,21,7.4,2.43,0.27,0.00
M'Baye Niang\MBaye-Niang,FW,Rennes,fr Ligue 1,25,4.7,0.64,0.00,0.00
Mamor Niang\Mamor-Niang,FWMF,Getafe,es La Liga,18,0.2,0.00,0.00,0.00
Florian Niederlechner\Florian-Niederlechner,FW,Augsburg,de Bundesliga,29,19.3,1.45,0.16,0.05
Nieto\Nieto,FWMF,Cádiz,es La Liga,22,0.2,5.00,0.00,0.00
Saúl Ñíguez\Saul-Niguez,MFDF,Atlético Madrid,es La Liga,25,22.6,1.55,0.09,0.00
Joakim Nilsson\Joakim-Nilsson,DF,Arminia,de Bundesliga,26,24.0,0.29,0.00,0.00
Casimir Ninga\Casimir-Ninga,FW,Angers,fr Ligue 1,27,0.3,0.00,0.00,0.00
Nino\Nino,MFFW,Elche,es La Liga,40,3.2,0.94,0.00,0.00
Fernando Niño\Fernando-Nino,FW,Villarreal,es La Liga,19,6.6,1.21,0.00,0.00
Eddie Nketiah\Eddie-Nketiah,FW,Arsenal,eng Premier League,21,4.7,1.70,0.00,0.21
Nicolas Nkoulou\Nicolas-Nkoulou,DF,Torino,it Serie A,30,15.1,0.46,0.00,0.00
Niels Nkounkou\Niels-Nkounkou,DFFW,Everton,eng Premier League,19,0.9,1.11,0.00,0.00
Christopher Nkunku\Christopher-Nkunku,FWMF,RB Leipzig,de Bundesliga,22,21.0,6.19,0.38,0.10
Dan Nlundulu\Dan-Nlundulu,FW,Southampton,eng Premier League,21,1.2,0.83,0.00,0.00
Mark Noble\Mark-Noble,MF,West Ham,eng Premier League,33,7.9,0.89,0.00,0.00
Nolito\Nolito,MFFW,Celta Vigo,es La Liga,33,28.9,2.46,0.07,0.14
Arnaud Nordin\Arnaud-Nordin,MFFW,Saint-Étienne,fr Ligue 1,22,19.7,3.15,0.41,0.10
Håvard Nordtveit\Havard-Nordtveit,DF,Hoffenheim,de Bundesliga,30,7.8,0.77,0.00,0.00
Will Norris\Will-Norris,GK,Burnley,eng Premier League,26,2.0,0.50,0.00,0.00
Oliver Norwood\Oliver-Norwood,MF,Sheffield Utd,eng Premier League,29,24.7,1.82,0.00,0.00
Olivier Ntcham\Olivier-Ntcham,MF,Marseille,fr Ligue 1,24,1.3,0.77,0.00,0.00
Alexander Nübel\Alexander-Nubel,GK,Bayern Munich,de Bundesliga,23,1.0,0.00,0.00,0.00
Kasim Nuhu\Kasim-Nuhu,DF,Hoffenheim,de Bundesliga,25,11.0,0.55,0.00,0.00
Unai Núñez\Unai-Nunez,DF,Athletic Club,es La Liga,23,23.4,0.47,0.00,0.00
Bram Nuytinck\Bram-Nuytinck,DF,Udinese,it Serie A,30,18.2,0.33,0.05,0.00
Kelechi Nwakali\Kelechi-Nwakali,MFFW,Huesca,es La Liga,22,1.6,2.50,0.00,0.00
Simeon Nwankwo\Simeon-Nwankwo,FW,Crotone,it Serie A,28,32.7,1.41,0.15,0.00
Gerzino Nyamsi\Gerzino-Nyamsi,DF,Rennes,fr Ligue 1,23,9.7,0.41,0.00,0.00
Allan Nyom\Allan-Nyom,MFDF,Getafe,es La Liga,32,25.8,1.24,0.04,0.00
M'Bala Nzola\MBala-Nzola,FW,Spezia,it Serie A,23,21.1,2.27,0.28,0.09
Steven Nzonzi\Steven-Nzonzi,MF,Rennes,fr Ligue 1,31,32.3,1.39,0.00,0.00
Jack O'Connell\Jack-OConnell,DF,Sheffield Utd,eng Premier League,26,2.0,0.00,0.00,0.00
Dara O'Shea\Dara-OShea,DF,West Brom,eng Premier League,21,23.4,0.73,0.00,0.00
Michael Obafemi\Michael-Obafemi,FW,Southampton,eng Premier League,20,0.7,1.43,0.00,0.00
Pedro Obiang\Pedro-Obiang,MF,Sassuolo,it Serie A,28,16.3,1.29,0.00,0.00
Jan Oblak\Jan-Oblak,GK,Atlético Madrid,es La Liga,27,38.0,0.05,0.00,0.00
Lucas Ocampos\Lucas-Ocampos,FW,Sevilla,es La Liga,26,29.2,2.71,0.41,0.07
Bastian Oczipka\Bastian-Oczipka,DF,Schalke 04,de Bundesliga,31,21.4,2.10,0.00,0.00
Brain Oddei\Brain-Oddei,FWMF,Sassuolo,it Serie A,17,0.5,10.0,4.00,0.00
Denis Odoi\Denis-Odoi,DF,Fulham,eng Premier League,32,3.0,1.67,0.00,0.00
Álvaro Odriozola\Alvaro-Odriozola,DF,Real Madrid,es La Liga,24,9.2,1.96,0.00,0.00
Angelo Ogbonna\Angelo-Ogbonna,DF,West Ham,eng Premier League,32,27.7,0.22,0.00,0.00
Stefano Okaka\Stefano-Okaka,FW,Udinese,it Serie A,30,16.5,1.27,0.18,0.06
Shinji Okazaki\Shinji-Okazaki,FWMF,Huesca,es La Liga,34,12.5,1.20,0.16,0.00
Masaya Okugawa\Masaya-Okugawa,MFFW,Arminia,de Bundesliga,24,10.2,1.57,0.00,0.20
Lucas Olaza\Lucas-Olaza,DF,Valladolid,es La Liga,26,14.0,2.07,0.07,0.07
Lucas Olaza\Lucas-Olaza,DF,Celta Vigo,es La Liga,26,17.9,1.62,0.06,0.00
Christian Oliva\Christian-Oliva,MF,Cagliari,it Serie A,24,4.3,1.16,0.00,0.00
Christian Oliva\Christian-Oliva,MF,Valencia,es La Liga,24,2.2,2.27,0.45,0.00
Kiko Olivas\Kiko-Olivas,DFMF,Valladolid,es La Liga,31,2.0,1.00,0.00,0.00
Paulo Oliveira\Paulo-Oliveira,DF,Eibar,es La Liga,28,29.3,0.31,0.00,0.00
Mathías Olivera\Mathias-Olivera,DF,Getafe,es La Liga,22,29.0,1.38,0.14,0.07
Maximiliano Olivera\Maximiliano-Olivera,DF,Fiorentina,it Serie A,28,1.0,0.00,0.00,0.00
Dani Olmo\Dani-Olmo,MFFW,RB Leipzig,de Bundesliga,22,24.4,4.26,0.16,0.12
Robin Olsen\Robin-Olsen,GK,Everton,eng Premier League,30,7.0,0.14,0.00,0.00
Jonas Omlin\Jonas-Omlin,GK,Montpellier,fr Ligue 1,26,29.7,0.03,0.00,0.00
Jerome Onguene\Jerome-Onguene,DF,Genoa,it Serie A,22,2.0,0.00,0.00,0.00
Karim Onisiwo\Karim-Onisiwo,FW,Mainz 05,de Bundesliga,28,20.5,2.29,0.24,0.15
Josh Onomah\Josh-Onomah,MF,Fulham,eng Premier League,23,4.2,1.43,0.00,0.24
